family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,22.0,0.2,32769660,577,1.7607750583924277e-05,110,0.005807200929152149,101,600.759811,highrate_k15_snrscan_iti02_tail_1000sector,2.097044779971609e-05,2.097044779971609e-05,4.206921127652835e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07943282347242814,zero,0.01,True,32768,4096.0,1000,1660,108,0.108,0.108,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,22.25,0.2,32769660,513,1.565472452262245e-05,64,0.0033787350860521592,101,412.31854,highrate_k15_snrscan_iti02_tail_1000sector,1.2464951489341733e-05,1.2464951489341733e-05,2.337178404251575e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07717915155850123,zero,0.01,True,32768,4096.0,1000,1660,62,0.062,0.062,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,22.5,0.2,32769660,163,4.974113249878088e-06,28,0.0014781966001478197,101,268.323339,highrate_k15_snrscan_iti02_tail_1000sector,6.159152500615915e-06,6.159152500615915e-06,1.0723524443036638e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07498942093324558,zero,0.01,True,32768,4096.0,1000,1660,28,0.028,0.028,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,22.75,0.2,32769660,180,5.492885797411386e-06,29,0.0015309893358673846,101,235.750111,highrate_k15_snrscan_iti02_tail_1000sector,5.279273571956499e-06,5.279273571956499e-06,1.0723524443036638e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07286181745132278,zero,0.01,True,32768,4096.0,1000,1660,28,0.028,0.028,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,23.0,0.2,32769660,53,1.6173497070155748e-06,8,0.0004223418857565199,101,129.729446,highrate_k15_snrscan_iti02_tail_1000sector,1.8477457501847746e-06,1.8477457501847746e-06,2.7496216520606764e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.0707945784384138,zero,0.01,True,32768,4096.0,1000,1660,8,0.008,0.008,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,23.25,0.2,32769660,17,5.187725475332976e-07,4,0.00021117094287825995,101,113.956714,highrate_k15_snrscan_iti02_tail_1000sector,5.865859524396109e-07,5.865859524396109e-07,1.3748108260303382e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06878599123088075,zero,0.01,True,32768,4096.0,1000,1660,4,0.004,0.004,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,23.5,0.2,32769660,31,9.459969984430721e-07,6,0.0003167564143173899,101,125.944549,highrate_k15_snrscan_iti02_tail_1000sector,1.1438426072572414e-06,1.1438426072572414e-06,2.1996973216485412e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06683439175686146,zero,0.01,True,32768,4096.0,1000,1660,6,0.006,0.006,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,23.75,0.2,32769660,18,5.492885797411386e-07,3,0.00015837820715869496,101,109.063649,highrate_k15_snrscan_iti02_tail_1000sector,6.159152500615915e-07,6.159152500615915e-07,8.24886495618203e-08,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06493816315762113,zero,0.01,True,32768,4096.0,1000,1660,3,0.003,0.003,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,24.0,0.2,32769660,6,1.830961932470462e-07,1,5.279273571956499e-05,101,88.466409,highrate_k15_snrscan_iti02_tail_1000sector,1.759757857318833e-07,1.759757857318833e-07,2.7496216520606764e-08,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06309573444801933,zero,0.01,True,32768,4096.0,1000,1660,1,0.001,0.001,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,24.25,0.2,32769660,2,6.103206441568206e-08,1,5.279273571956499e-05,101,97.001455,highrate_k15_snrscan_iti02_tail_1000sector,8.798789286594165e-08,8.798789286594165e-08,2.7496216520606764e-08,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06130557921498209,zero,0.01,True,32768,4096.0,1000,1660,1,0.001,0.001,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
