family,rate,iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
ldpc+mtr1d,0.9010416666666669,0.0,15.0,78,500,610,16384830,448.930939,0.156,3.722955929356606e-05,
ldpc+mtr1d,0.9010416666666669,0.0,16.0,16,500,75,16384830,134.96482,0.032,4.577404831176155e-06,
ldpc+mtr1d,0.9010416666666669,0.0,17.0,2,500,8,16384830,60.375737,0.004,4.882565153254565e-07,
ldpc+mtr1d,0.9010416666666669,0.2,22.0,47,500,305,16384830,293.92154,0.094,1.861477964678303e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,15.0,104,500,616,16386560,560.803136,0.208,3.759178253397907e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,16.0,11,500,128,16386560,113.995873,0.022,7.811279487580066e-06,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,17.0,1,500,2,16386560,50.896963,0.002,1.2205124199343853e-07,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,22.0,216,2500,1410,81925880,1406.784796,0.0864,1.7210678725696935e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,23.0,22,2000,100,65539320,285.587529,0.011,1.5258016103920517e-06,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,24.0,4,2500,32,81925880,244.63149600000003,0.0016,3.9059696398744815e-07,
