detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.15,12.5,39,100,277,3280080,694.738917,0.39,8.444915977659082e-05,
0.15,13.0,20,100,204,3280080,642.621069,0.2,6.219360503402357e-05,
0.15,13.5,4,100,23,3280080,580.188797,0.04,7.012024096973244e-06,
0.15,14.0,1,100,6,3280080,556.370926,0.01,1.829223677471281e-06,
0.15,14.5,1,100,4,3280080,556.446001,0.01,1.2194824516475208e-06,
0.18,12.5,24,100,182,3280080,652.299162,0.24,5.548645154996219e-05,
0.18,13.0,10,100,161,3280080,604.381961,0.1,4.908416867881271e-05,
0.18,13.5,4,100,22,3280080,574.499811,0.04,6.707153484061364e-06,
0.18,14.0,1,100,6,3280080,555.401312,0.01,1.829223677471281e-06,
0.2,12.5,22,100,153,3280080,640.855375,0.22,4.664520377551767e-05,
0.2,13.0,8,100,149,3280080,596.447004,0.08,4.542572132387015e-05,
0.2,13.5,4,100,22,3280080,574.230499,0.04,6.707153484061364e-06,
0.22,12.5,29,100,202,3280080,659.484102,0.29,6.15838638081998e-05,
0.22,13.0,8,100,149,3280080,600.36204,0.08,4.542572132387015e-05,
0.22,13.5,4,100,61,3280080,574.070917,0.04,1.8597107387624694e-05,
0.22,14.0,1,100,7,3280080,553.316091,0.01,2.1340942903831616e-06,
0.25,12.5,45,100,374,3280080,689.775809,0.45,0.00011402160922904319,
0.25,13.0,24,100,257,3280080,647.604209,0.24,7.835174751835322e-05,
0.25,13.5,12,100,111,3280080,611.718503,0.12,3.38406380332187e-05,
0.25,14.0,3,100,21,3280080,565.949765,0.03,6.402282871149484e-06,
