detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.15,log10_fsr_linear_vs_snr,5,12.5,14.5,0.01,0.39,-0.8966318419433953,10.803360785039523,0.9370823476215505,,0.01,-2.0,14.279395607107832,-0.22060439289216838
0.15,log10_fsr_linear_vs_snr,5,12.5,14.5,0.01,0.39,-0.8966318419433953,10.803360785039523,0.9370823476215505,,0.001,-3.0,15.394680558211688,0.8946805582116877
0.15,log10_fsr_linear_vs_snr,5,12.5,14.5,0.01,0.39,-0.8966318419433953,10.803360785039523,0.9370823476215505,,0.0001,-4.0,16.509965509315546,2.0099655093155455
0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.24,-0.9077147467613752,10.772788202848112,0.9865501412571547,,0.01,-2.0,14.071367958293058,0.07136795829305775
0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.24,-0.9077147467613752,10.772788202848112,0.9865501412571547,,0.001,-3.0,15.173035639211417,1.1730356392114167
0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.24,-0.9077147467613752,10.772788202848112,0.9865501412571547,,0.0001,-4.0,16.274703320129777,2.2747033201297775
0.2,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.22,-0.7403626894942502,8.573905849805959,0.9885018364237887,,0.01,-2.0,14.282062021560147,0.7820620215601473
0.2,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.22,-0.7403626894942502,8.573905849805959,0.9885018364237887,,0.001,-3.0,15.632751371779985,2.1327513717799853
0.2,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.22,-0.7403626894942502,8.573905849805959,0.9885018364237887,,0.0001,-4.0,16.983440721999823,3.4834407219998234
0.22,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.29,-0.9376447978721738,11.165680565861015,0.9855630592424882,,0.01,-2.0,14.041223921615412,0.041223921615411996
0.22,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.29,-0.9376447978721738,11.165680565861015,0.9855630592424882,,0.001,-3.0,15.107725865922394,1.1077258659223936
0.22,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.29,-0.9376447978721738,11.165680565861015,0.9855630592424882,,0.0001,-4.0,16.174227810229375,2.1742278102293753
0.25,log10_fsr_linear_vs_snr,4,12.5,14.0,0.03,0.45,-0.7658607545662082,9.295086562065816,0.9596892510669892,,0.01,-2.0,14.748224784626123,0.7482247846261227
0.25,log10_fsr_linear_vs_snr,4,12.5,14.0,0.03,0.45,-0.7658607545662082,9.295086562065816,0.9596892510669892,,0.001,-3.0,16.053945170528923,2.053945170528923
0.25,log10_fsr_linear_vs_snr,4,12.5,14.0,0.03,0.45,-0.7658607545662082,9.295086562065816,0.9596892510669892,,0.0001,-4.0,17.359665556431725,3.3596655564317253
