channel_detector,equalizer_iterations,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
bcjr_2d_equalized,1,10.0,20,20,5184,657400,92.443729,1.0,0.007885609978703986,
bcjr_2d_equalized,1,12.0,106,120,1681,3937480,552.9068570000001,0.8833333333333333,0.0004269228034174142,
bcjr_2d_equalized,1,12.5,55,100,560,3280080,439.728207,0.55,0.00017072754323065292,
bcjr_2d_equalized,1,13.0,214,600,1673,19666640,2467.238972,0.3566666666666667,8.506791195649078e-05,
bcjr_2d_equalized,1,13.5,107,600,752,19666640,2241.755712,0.17833333333333334,3.823733998283388e-05,
bcjr_2d_equalized,1,14.0,68,620,384,20324040,2103.183968,0.10967741935483871,1.8893881334616544e-05,
bcjr_2d_equalized,1,14.5,19,600,124,19666640,1804.954024,0.03166666666666667,6.305093295041756e-06,
bcjr_2d_equalized,1,15.0,12,600,79,19666640,1761.731487,0.02,4.016954599260474e-06,
bcjr_2d_equalized,1,15.5,4,600,23,19666640,1712.7491340000001,0.006666666666666667,1.1694931111770999e-06,
bcjr_2d_equalized,1,16.0,2,620,10,20324040,1758.161196,0.0032258064516129032,4.920281597556391e-07,
bcjr_2d_equalized,1,18.0,0,20,0,657400,56.377871,0.0,0.0,0.15
bcjr_2d_equalized,1,20.0,0,20,0,657400,56.326859,0.0,0.0,0.15
bcjr_2d_equalized,1,22.0,0,20,0,657400,56.596799,0.0,0.0,0.15
bcjr_2d_equalized,1,23.0,0,20,0,657400,56.548361,0.0,0.0,0.15
bcjr_2d_equalized,1,24.0,0,20,0,657400,56.924973,0.0,0.0,0.15
bcjr_2d_equalized,2,8.0,120,120,289712,3937480,876.7861730000001,1.0,0.07357802452329916,
bcjr_2d_equalized,2,10.0,120,120,20567,3937480,875.136836,1.0,0.0052233916108780235,
bcjr_2d_equalized,2,12.0,123,220,1103,7217560,1589.798493,0.5590909090909091,0.0001528217292270518,
bcjr_2d_equalized,2,12.5,129,600,941,19666640,3937.785851,0.215,4.784752250511526e-05,
bcjr_2d_equalized,2,13.0,65,600,395,19666640,3655.461312,0.10833333333333334,2.0084772996302366e-05,
bcjr_2d_equalized,2,13.5,22,600,113,19666640,3451.408533,0.03666666666666667,5.745770502739665e-06,
bcjr_2d_equalized,2,14.0,5,720,20,23604120,4026.793053,0.006944444444444444,8.473097069494647e-07,
bcjr_2d_equalized,2,14.5,2,600,12,19666640,3340.401277,0.0033333333333333335,6.101703188750087e-07,
bcjr_2d_equalized,2,15.0,3,600,19,19666640,3348.639044,0.005,9.661030048854303e-07,
bcjr_2d_equalized,2,15.5,0,600,0,19666640,3326.119775,0.0,0.0,0.005
bcjr_2d_equalized,2,16.0,0,220,0,7217560,1216.1577889999999,0.0,0.0,0.013636363636363636
bcjr_2d_equalized,2,18.0,0,240,0,7874960,1327.858572,0.0,0.0,0.0125
bcjr_2d_equalized,2,19.0,0,120,0,3937480,664.4483210000001,0.0,0.0,0.025
bcjr_2d_equalized,2,20.0,0,120,0,3937480,665.276491,0.0,0.0,0.025
bcjr_2d_equalized,2,21.0,0,120,0,3937480,665.874038,0.0,0.0,0.025
bcjr_2d_equalized,2,22.0,0,120,0,3937480,664.602876,0.0,0.0,0.025
bcjr_2d_equalized,2,23.0,0,20,0,657400,110.908955,0.0,0.0,0.15
bcjr_2d_equalized,2,24.0,0,20,0,657400,111.577438,0.0,0.0,0.15
