channel_detector,equalizer_iterations,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
bcjr_2d_equalized,1,12.5,55,100,560,3280080,439.728207,0.55,0.00017072754323065292,
bcjr_2d_equalized,1,13.0,214,600,1673,19666640,2467.238972,0.3566666666666667,8.506791195649078e-05,
bcjr_2d_equalized,1,13.5,107,600,752,19666640,2241.755712,0.17833333333333334,3.823733998283388e-05,
bcjr_2d_equalized,1,14.0,68,620,384,20324040,2103.183968,0.10967741935483871,1.8893881334616544e-05,
bcjr_2d_equalized,1,14.5,19,600,124,19666640,1804.954024,0.03166666666666667,6.305093295041756e-06,
bcjr_2d_equalized,1,15.0,12,600,79,19666640,1761.731487,0.02,4.016954599260474e-06,
bcjr_2d_equalized,1,15.5,4,600,23,19666640,1712.7491340000001,0.006666666666666667,1.1694931111770999e-06,
bcjr_2d_equalized,1,16.0,2,620,10,20324040,1758.161196,0.0032258064516129032,4.920281597556391e-07,
bcjr_2d_equalized,2,12.0,123,220,1103,7217560,1589.798493,0.5590909090909091,0.0001528217292270518,
bcjr_2d_equalized,2,12.5,129,600,941,19666640,3937.785851,0.215,4.784752250511526e-05,
bcjr_2d_equalized,2,13.0,65,600,395,19666640,3655.461312,0.10833333333333334,2.0084772996302366e-05,
bcjr_2d_equalized,2,13.5,22,600,113,19666640,3451.408533,0.03666666666666667,5.745770502739665e-06,
bcjr_2d_equalized,2,14.0,5,720,20,23604120,4026.793053,0.006944444444444444,8.473097069494647e-07,
bcjr_2d_equalized,2,14.5,2,600,12,19666640,3340.401277,0.0033333333333333335,6.101703188750087e-07,
bcjr_2d_equalized,2,15.0,3,600,19,19666640,3348.639044,0.005,9.661030048854303e-07,
