channel_detector,equalizer_iterations,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
bcjr_2d_equalized,1,10.0,20,20,5184,657400,92.443729,1.0,0.007885609978703986,
bcjr_2d_equalized,1,12.0,106,120,1681,3937480,552.9068570000001,0.8833333333333333,0.0004269228034174142,
bcjr_2d_equalized,1,12.5,55,100,560,3280080,439.728207,0.55,0.00017072754323065292,
bcjr_2d_equalized,1,13.0,42,100,365,3280080,423.49399,0.42,0.00011127777371283627,
bcjr_2d_equalized,1,13.5,16,100,98,3280080,369.867334,0.16,2.987732006536426e-05,
bcjr_2d_equalized,1,14.0,12,120,73,3937480,401.614712,0.1,1.853977670997694e-05,
bcjr_2d_equalized,1,14.5,2,100,14,3280080,297.05731,0.02,4.268188580766323e-06,
bcjr_2d_equalized,1,15.0,2,100,12,3280080,296.830315,0.02,3.658447354942562e-06,
bcjr_2d_equalized,1,15.5,0,100,0,3280080,281.87336,0.0,0.0,0.03
bcjr_2d_equalized,1,16.0,0,120,0,3937480,338.09844200000003,0.0,0.0,0.025
bcjr_2d_equalized,1,18.0,0,20,0,657400,56.377871,0.0,0.0,0.15
bcjr_2d_equalized,1,20.0,0,20,0,657400,56.326859,0.0,0.0,0.15
bcjr_2d_equalized,1,22.0,0,20,0,657400,56.596799,0.0,0.0,0.15
bcjr_2d_equalized,1,23.0,0,20,0,657400,56.548361,0.0,0.0,0.15
bcjr_2d_equalized,1,24.0,0,20,0,657400,56.924973,0.0,0.0,0.15
bcjr_2d_equalized,2,8.0,120,120,289712,3937480,876.7861730000001,1.0,0.07357802452329916,
bcjr_2d_equalized,2,10.0,120,120,20567,3937480,875.136836,1.0,0.0052233916108780235,
bcjr_2d_equalized,2,12.0,123,220,1103,7217560,1589.798493,0.5590909090909091,0.0001528217292270518,
bcjr_2d_equalized,2,12.5,25,100,166,3280080,679.669334,0.25,5.060852174337211e-05,
bcjr_2d_equalized,2,13.0,9,100,43,3280080,596.299963,0.09,1.3109436355210848e-05,
bcjr_2d_equalized,2,13.5,3,100,12,3280080,573.123378,0.03,3.658447354942562e-06,
bcjr_2d_equalized,2,14.0,3,220,16,7217560,1235.786259,0.013636363636363636,2.2168156551521566e-06,
bcjr_2d_equalized,2,14.5,1,100,7,3280080,560.967521,0.01,2.1340942903831616e-06,
bcjr_2d_equalized,2,15.0,0,100,0,3280080,555.136688,0.0,0.0,0.03
bcjr_2d_equalized,2,15.5,0,100,0,3280080,554.827104,0.0,0.0,0.03
bcjr_2d_equalized,2,16.0,0,220,0,7217560,1216.1577889999999,0.0,0.0,0.013636363636363636
bcjr_2d_equalized,2,18.0,0,240,0,7874960,1327.858572,0.0,0.0,0.0125
bcjr_2d_equalized,2,19.0,0,120,0,3937480,664.4483210000001,0.0,0.0,0.025
bcjr_2d_equalized,2,20.0,0,120,0,3937480,665.276491,0.0,0.0,0.025
bcjr_2d_equalized,2,21.0,0,120,0,3937480,665.874038,0.0,0.0,0.025
bcjr_2d_equalized,2,22.0,0,120,0,3937480,664.602876,0.0,0.0,0.025
bcjr_2d_equalized,2,23.0,0,20,0,657400,110.908955,0.0,0.0,0.15
bcjr_2d_equalized,2,24.0,0,20,0,657400,111.577438,0.0,0.0,0.15
