channel_detector,equalizer_iterations,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
bcjr_2d_equalized,1,12.5,55,100,560,3280080,439.728207,0.55,0.00017072754323065292,
bcjr_2d_equalized,1,13.0,42,100,365,3280080,423.49399,0.42,0.00011127777371283627,
bcjr_2d_equalized,1,13.5,16,100,98,3280080,369.867334,0.16,2.987732006536426e-05,
bcjr_2d_equalized,1,14.0,12,120,73,3937480,401.614712,0.1,1.853977670997694e-05,
bcjr_2d_equalized,1,14.5,2,100,14,3280080,297.05731,0.02,4.268188580766323e-06,
bcjr_2d_equalized,1,15.0,2,100,12,3280080,296.830315,0.02,3.658447354942562e-06,
bcjr_2d_equalized,2,12.0,123,220,1103,7217560,1589.798493,0.5590909090909091,0.0001528217292270518,
bcjr_2d_equalized,2,12.5,25,100,166,3280080,679.669334,0.25,5.060852174337211e-05,
bcjr_2d_equalized,2,13.0,9,100,43,3280080,596.299963,0.09,1.3109436355210848e-05,
bcjr_2d_equalized,2,13.5,3,100,12,3280080,573.123378,0.03,3.658447354942562e-06,
bcjr_2d_equalized,2,14.0,3,220,16,7217560,1235.786259,0.013636363636363636,2.2168156551521566e-06,
bcjr_2d_equalized,2,14.5,1,100,7,3280080,560.967521,0.01,2.1340942903831616e-06,
