detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.16,12.5,36,100,271,3280080,689.0753,0.36,8.261993609911953e-05,
0.16,13.0,16,100,91,3280080,630.505844,0.16,2.7743225774981097e-05,
0.16,13.5,5,100,24,3280080,582.487616,0.05,7.316894709885124e-06,
0.16,14.0,2,100,6,3280080,561.603983,0.02,1.829223677471281e-06,
0.16,14.5,0,100,0,3280080,552.733555,0.0,0.0,0.03
0.17,12.5,32,100,233,3280080,677.496769,0.32,7.103485280846809e-05,
0.17,13.0,14,100,72,3280080,623.713038,0.14,2.1950684129655373e-05,
0.17,13.5,4,100,20,3280080,573.22181,0.04,6.097412258237604e-06,
0.17,14.0,1,100,4,3280080,555.962492,0.01,1.2194824516475208e-06,
0.17,14.5,0,100,0,3280080,550.675971,0.0,0.0,0.03
0.18,12.5,29,100,207,3280080,651.961438,0.29,6.31082168727592e-05,
0.18,13.0,9,100,49,3280080,592.769769,0.09,1.493866003268213e-05,
0.18,13.5,4,100,20,3280080,573.98802,0.04,6.097412258237604e-06,
0.18,14.0,0,100,0,3280080,549.954095,0.0,0.0,0.03
0.18,14.5,0,100,0,3280080,549.906995,0.0,0.0,0.03
0.19,12.5,28,100,210,3280080,654.747604,0.28,6.402282871149484e-05,
0.19,13.0,11,100,56,3280080,600.039402,0.11,1.7072754323065293e-05,
0.19,13.5,4,100,20,3280080,573.148849,0.04,6.097412258237604e-06,
0.19,14.0,0,100,0,3280080,549.397785,0.0,0.0,0.03
0.19,14.5,0,100,0,3280080,550.083555,0.0,0.0,0.03
0.2,12.5,26,100,180,3280080,653.03318,0.26,5.487671032413844e-05,
0.2,13.0,12,100,55,3280080,607.279538,0.12,1.676788371015341e-05,
0.2,13.5,4,100,20,3280080,573.965867,0.04,6.097412258237604e-06,
0.2,14.0,0,100,0,3280080,549.571148,0.0,0.0,0.03
0.2,14.5,0,100,0,3280080,550.523365,0.0,0.0,0.03
0.21,12.5,27,100,200,3280080,658.414228,0.27,6.097412258237604e-05,
0.21,13.0,13,100,50,3280080,605.191572,0.13,1.524353064559401e-05,
0.21,13.5,3,100,12,3280080,567.258761,0.03,3.658447354942562e-06,
0.21,14.0,1,100,1,3280080,555.87631,0.01,3.048706129118802e-07,
0.21,14.5,0,100,0,3280080,550.834412,0.0,0.0,0.03
0.22,12.5,32,100,232,3280080,669.973302,0.32,7.07299821955562e-05,
0.22,13.0,14,100,55,3280080,609.146587,0.14,1.676788371015341e-05,
0.22,13.5,4,100,19,3280080,573.612285,0.04,5.792541645325723e-06,
0.22,14.0,1,100,1,3280080,557.642929,0.01,3.048706129118802e-07,
0.22,14.5,0,100,0,3280080,550.265873,0.0,0.0,0.03
0.23,12.5,37,100,278,3280080,683.017482,0.37,8.475403038950269e-05,
0.23,13.0,18,100,84,3280080,631.413589,0.18,2.5609131484597937e-05,
0.23,13.5,5,100,20,3280080,579.702576,0.05,6.097412258237604e-06,
0.23,14.0,1,100,1,3280080,555.183374,0.01,3.048706129118802e-07,
0.23,14.5,0,100,0,3280080,549.405986,0.0,0.0,0.03
0.24,12.5,47,100,363,3280080,707.10602,0.47,0.00011066803248701252,
0.24,13.0,22,100,111,3280080,657.591605,0.22,3.38406380332187e-05,
0.24,13.5,5,100,20,3280080,578.674466,0.05,6.097412258237604e-06,
0.24,14.0,1,100,1,3280080,556.505015,0.01,3.048706129118802e-07,
0.24,14.5,0,100,0,3280080,551.137487,0.0,0.0,0.03
