detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.16,log10_fsr_linear_vs_snr,4,12.5,14.0,0.02,0.36,-0.8541934987259685,10.258169478974883,0.9957334106239057,,0.01,-2.0,14.35057688598423,0.3505768859842302
0.16,log10_fsr_linear_vs_snr,4,12.5,14.0,0.02,0.36,-0.8541934987259685,10.258169478974883,0.9957334106239057,,0.001,-3.0,15.521271818094462,1.521271818094462
0.16,log10_fsr_linear_vs_snr,4,12.5,14.0,0.02,0.36,-0.8541934987259685,10.258169478974883,0.9957334106239057,,0.0001,-4.0,16.691966750204696,2.6919667502046956
0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.32,-1.0119035958620035,12.221057146503073,0.987978471997596,,0.01,-2.0,14.053766786339638,0.05376678633963827
0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.32,-1.0119035958620035,12.221057146503073,0.987978471997596,,0.001,-3.0,15.042003219226446,1.0420032192264461
0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.32,-1.0119035958620035,12.221057146503073,0.987978471997596,,0.0001,-4.0,16.030239652113252,2.030239652113252
0.18,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.29,-0.860338006571001,10.190627584978433,0.9891630492884423,,0.01,-2.0,14.16957927218153,0.6695792721815295
0.18,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.29,-0.860338006571001,10.190627584978433,0.9891630492884423,,0.001,-3.0,15.331913136735116,1.8319131367351158
0.18,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.29,-0.860338006571001,10.190627584978433,0.9891630492884423,,0.0001,-4.0,16.494247001288702,2.994247001288702
0.19,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.28,-0.8450980400142644,10.016478089461575,0.9994743819433785,,0.01,-2.0,14.21903438476647,0.71903438476647
0.19,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.28,-0.8450980400142644,10.016478089461575,0.9994743819433785,,0.001,-3.0,15.402329047221398,1.9023290472213983
0.19,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.28,-0.8450980400142644,10.016478089461575,0.9994743819433785,,0.0001,-4.0,16.585623709676327,3.0856237096763266
0.2,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.26,-0.8129133566428632,9.599945164806028,0.9900252957208855,,0.01,-2.0,14.26959597848289,0.7695959784828901
0.2,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.26,-0.8129133566428632,9.599945164806028,0.9900252957208855,,0.001,-3.0,15.499739377934166,1.9997393779341657
0.2,log10_fsr_linear_vs_snr,3,12.5,13.5,0.04,0.26,-0.8129133566428632,9.599945164806028,0.9900252957208855,,0.0001,-4.0,16.729882777385445,3.229882777385445
0.21,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.27,-0.9861826780128319,11.82252757646639,0.9855270765792971,,0.01,-2.0,14.016193839785265,0.016193839785264785
0.21,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.27,-0.9861826780128319,11.82252757646639,0.9855270765792971,,0.001,-3.0,15.030204755100682,1.0302047551006819
0.21,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.27,-0.9861826780128319,11.82252757646639,0.9855270765792971,,0.0001,-4.0,16.044215670416097,2.044215670416097
0.22,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.32,-1.0119035958620035,12.221057146503073,0.987978471997596,,0.01,-2.0,14.053766786339638,0.05376678633963827
0.22,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.32,-1.0119035958620035,12.221057146503073,0.987978471997596,,0.001,-3.0,15.042003219226446,1.0420032192264461
0.22,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.32,-1.0119035958620035,12.221057146503073,0.987978471997596,,0.0001,-4.0,16.030239652113252,2.030239652113252
0.23,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.37,-1.0521815345936594,12.822016391742562,0.9734359979140775,,0.01,-2.0,14.08693833185987,0.08693833185986932
0.23,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.37,-1.0521815345936594,12.822016391742562,0.9734359979140775,,0.001,-3.0,15.037344670616031,1.0373446706160312
0.23,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.37,-1.0521815345936594,12.822016391742562,0.9734359979140775,,0.0001,-4.0,15.987751009372193,1.987751009372193
0.24,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.47,-1.1319492500586732,13.926700199050904,0.9771640776002549,,0.01,-2.0,14.070153938637587,0.07015393863758668
0.24,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.47,-1.1319492500586732,13.926700199050904,0.9771640776002549,,0.001,-3.0,14.953585770893467,0.9535857708934667
0.24,log10_fsr_linear_vs_snr,4,12.5,14.0,0.01,0.47,-1.1319492500586732,13.926700199050904,0.9771640776002549,,0.0001,-4.0,15.837017603149343,1.8370176031493433
