iti_coeff,detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.15,0.15,12.5,94,500,613,16386560,3334.274402,0.188,3.7408705670988906e-05,
0.15,0.15,13.0,34,500,169,16386560,3055.792514,0.068,1.0313329948445555e-05,
0.15,0.15,13.5,11,500,57,16386560,2939.693457,0.022,3.478460396812998e-06,
0.15,0.15,14.0,1,500,4,16386560,2878.525157,0.002,2.4410248398687706e-07,
0.15,0.15,14.5,1,500,7,16386560,2875.215723,0.002,4.271793469770348e-07,
0.15,0.18,12.5,139,500,998,16386560,3451.248376,0.278,6.0903569754725824e-05,
0.15,0.18,13.0,43,500,266,16386560,3116.89736,0.086,1.6232815185127324e-05,
0.15,0.18,13.5,19,500,113,16386560,2982.130342,0.038,6.895895172629277e-06,
0.15,0.18,14.0,1,500,4,16386560,2877.563707,0.002,2.4410248398687706e-07,
0.15,0.18,14.5,1,500,7,16386560,2874.960017,0.002,4.271793469770348e-07,
0.15,0.2,12.5,214,500,1550,16386560,3624.38724,0.428,9.458971254491486e-05,
0.15,0.2,13.0,84,500,488,16386560,3304.957192,0.168,2.9780503046399e-05,
0.15,0.2,13.5,33,500,205,16386560,3044.911407,0.066,1.2510252304327449e-05,
0.15,0.2,14.0,6,500,37,16386560,2914.496407,0.012,2.257947976878613e-06,
0.15,0.2,14.5,6,500,40,16386560,2911.152026,0.012,2.4410248398687704e-06,
0.15,0.2,15.0,1,500,10,16386560,2883.527685,0.002,6.102562099671926e-07,
0.2,0.17,12.5,141,500,1011,16386560,3356.312036,0.282,6.169690282768318e-05,
0.2,0.17,13.0,55,500,384,16386560,3145.500817,0.11,2.3433838462740197e-05,
0.2,0.17,13.5,18,500,91,16386560,2919.051286,0.036,5.5533315107014526e-06,
0.2,0.17,14.0,4,500,25,16386560,2832.992005,0.008,1.5256405249179816e-06,
0.2,0.18,12.5,135,500,913,16386560,3334.557671,0.27,5.5716391970004685e-05,
0.2,0.18,13.0,50,500,359,16386560,3101.723842,0.1,2.1908197937822214e-05,
0.2,0.18,13.5,21,500,123,16386560,2916.261905,0.042,7.506151382596469e-06,
0.2,0.18,14.0,4,500,24,16386560,2830.070866,0.008,1.4646149039212623e-06,
0.2,0.2,12.5,127,500,838,16386560,3336.320675,0.254,5.1139470395250745e-05,
0.2,0.2,13.0,45,500,332,16386560,3065.406569,0.09,2.0260506170910795e-05,
0.2,0.2,13.5,17,500,97,16386560,2898.525345,0.034,5.919485236681768e-06,
0.2,0.2,14.0,6,500,47,16386560,2836.572666,0.012,2.8682041868458052e-06,
0.2,0.2,14.5,1,500,7,16386560,2823.563901,0.002,4.271793469770348e-07,
0.2,0.21,12.5,134,500,869,16386560,3358.336692,0.268,5.303126464614904e-05,
0.2,0.21,13.0,46,500,338,16386560,3050.73137,0.092,2.062665989689111e-05,
0.2,0.21,13.5,18,500,107,16386560,2897.458814,0.036,6.529741446648961e-06,
0.2,0.21,14.0,6,500,47,16386560,2839.459457,0.012,2.8682041868458052e-06,
0.2,0.21,14.5,1,500,7,16386560,2800.734057,0.002,4.271793469770348e-07,
0.25,0.18,13.0,223,500,1967,16386560,3535.352904,0.446,0.0001200373965005468,
0.25,0.18,13.5,119,500,798,16386560,3315.233731,0.238,4.869844555538197e-05,
0.25,0.18,14.0,49,500,345,16386560,3079.211222,0.098,2.1053839243868146e-05,
0.25,0.18,14.5,19,500,101,16386560,2914.057529,0.038,6.163587720668645e-06,
0.25,0.18,15.0,9,500,62,16386560,2838.487444,0.018,3.7835885017965944e-06,
0.25,0.18,15.5,2,500,14,16386560,2796.594308,0.004,8.543586939540696e-07,
0.25,0.2,13.0,199,500,1639,16386560,3548.707107,0.398,0.00010002099281362287,
0.25,0.2,13.5,106,500,705,16386560,3274.305984,0.212,4.302306280268708e-05,
0.25,0.2,14.0,43,500,323,16386560,3047.915066,0.086,1.9711275581940323e-05,
0.25,0.2,14.5,15,500,75,16386560,2883.528261,0.03,4.576921574753945e-06,
0.25,0.2,15.0,7,500,47,16386560,2819.512678,0.014,2.8682041868458052e-06,
0.25,0.2,15.5,2,500,14,16386560,2794.041013,0.004,8.543586939540696e-07,
0.25,0.22,13.0,201,500,1608,16386560,3551.674729,0.402,9.812919856272458e-05,
0.25,0.22,13.5,96,500,685,16386560,3240.388595,0.192,4.1802550382752696e-05,
0.25,0.22,14.0,48,500,367,16386560,3062.345808,0.096,2.239640290579597e-05,
0.25,0.22,14.5,18,500,97,16386560,2911.537407,0.036,5.919485236681768e-06,
0.25,0.22,15.0,9,500,57,16386560,2832.413555,0.018,3.478460396812998e-06,
0.25,0.22,15.5,5,500,33,16386560,2808.77127,0.01,2.0138454928917355e-06,
0.25,0.25,13.0,225,500,1978,16386560,3633.328792,0.45,0.0001207086783315107,
0.25,0.25,13.5,123,500,807,16386560,3338.753771,0.246,4.9247676144352446e-05,
0.25,0.25,14.0,60,500,358,16386560,3109.160802,0.12,2.1847172316825494e-05,
0.25,0.25,14.5,27,500,142,16386560,2947.144866,0.054,8.665638181534136e-06,
0.25,0.25,15.0,12,500,73,16386560,2842.680632,0.024,4.454870332760506e-06,
0.25,0.25,15.5,11,500,76,16386560,2841.52742,0.022,4.637947195750664e-06,
