iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.15,0.15,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.188,-1.0955469248483298,13.000113372276472,0.940632053077064,,0.01,-2.0,13.691894917557386,-0.8081050824426139
0.15,0.15,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.188,-1.0955469248483298,13.000113372276472,0.940632053077064,,0.001,-3.0,14.604681013085376,0.1046810130853757
0.15,0.15,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.188,-1.0955469248483298,13.000113372276472,0.940632053077064,,0.0001,-4.0,15.517467108613362,1.0174671086133618
0.15,0.18,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.278,-1.1838996112175544,14.294722118458267,0.9258062765822066,,0.01,-2.0,13.763601207454013,-0.7363987925459874
0.15,0.18,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.278,-1.1838996112175544,14.294722118458267,0.9258062765822066,,0.001,-3.0,14.608267419457894,0.10826741945789387
0.15,0.18,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.278,-1.1838996112175544,14.294722118458267,0.9258062765822066,,0.0001,-4.0,15.452933631461775,0.9529336314617751
0.15,0.2,log10_fsr_linear_vs_snr,6,12.5,15.0,0.002,0.428,-0.904618037901424,10.961112933484596,0.968413755833547,,0.01,-2.0,14.327718871881444,-0.6722811281185557
0.15,0.2,log10_fsr_linear_vs_snr,6,12.5,15.0,0.002,0.428,-0.904618037901424,10.961112933484596,0.968413755833547,,0.001,-3.0,15.433157806439777,0.43315780643977675
0.15,0.2,log10_fsr_linear_vs_snr,6,12.5,15.0,0.002,0.428,-0.904618037901424,10.961112933484596,0.968413755833547,,0.0001,-4.0,16.53859674099811,1.5385967409981092
0.2,0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.282,-1.0253135096746397,12.323162573498179,0.988453999460317,,0.01,-2.0,13.969544376766589,-0.030455623233411444
0.2,0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.282,-1.0253135096746397,12.323162573498179,0.988453999460317,,0.001,-3.0,14.944855821085046,0.9448558210850457
