detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.17,13.0,249,500,2253,16386560,3651.004163,0.498,0.0001374907241056085,
0.17,13.5,123,500,846,16386560,3412.555965,0.246,5.16276753632245e-05,
0.17,14.0,49,500,330,16386560,3096.766578,0.098,2.0138454928917358e-05,
0.17,14.5,23,500,122,16386560,2989.853821,0.046,7.44512576159975e-06,
0.17,15.0,11,500,58,16386560,2905.368533,0.022,3.539486017809717e-06,
0.17,15.5,3,500,11,16386560,2861.017054,0.006,6.712818309639119e-07,
0.18,13.0,219,500,1848,16386560,3595.762484,0.438,0.0001127753476019372,
0.18,13.5,100,500,702,16386560,3331.092103,0.2,4.2839985939696924e-05,
0.18,14.0,43,500,286,16386560,3090.744144,0.086,1.7453327605061708e-05,
0.18,14.5,21,500,112,16386560,2961.527748,0.042,6.834869551632557e-06,
0.18,15.0,10,500,54,16386560,2899.328786,0.02,3.29538353382284e-06,
0.18,15.5,2,500,6,16386560,2855.398493,0.004,3.661537259803156e-07,
0.19,13.0,202,500,1582,16386560,3541.828474,0.404,9.654253241680987e-05,
0.19,13.5,91,500,739,16386560,3264.659372,0.182,4.5097933916575536e-05,
0.19,14.0,40,500,269,16386560,3078.002757,0.08,1.6415892048117483e-05,
0.19,14.5,18,500,94,16386560,2948.653418,0.036,5.7364083736916105e-06,
0.19,15.0,8,500,48,16386560,2889.576538,0.016,2.9292298078425247e-06,
0.19,15.5,2,500,6,16386560,2855.030415,0.004,3.661537259803156e-07,
0.2,13.0,189,500,1501,16386560,3549.876719,0.378,9.159945711607561e-05,
0.2,13.5,82,500,558,16386560,3235.59974,0.164,3.405229651616935e-05,
0.2,14.0,37,500,246,16386560,3058.171668,0.074,1.5012302765192938e-05,
0.2,14.5,20,500,107,16386560,2953.283816,0.04,6.529741446648961e-06,
0.2,15.0,8,500,44,16386560,2889.136246,0.016,2.6851273238556477e-06,
0.2,15.5,2,500,6,16386560,2851.831608,0.004,3.661537259803156e-07,
0.21,13.0,193,500,1512,16386560,3577.288385,0.386,9.227073894703953e-05,
0.21,13.5,80,500,566,16386560,3219.546855,0.16,3.45405014841431e-05,
0.21,14.0,36,500,236,16386560,3047.097444,0.072,1.4402046555225746e-05,
0.21,14.5,24,500,140,16386560,2979.989494,0.048,8.543586939540698e-06,
0.21,15.0,8,500,44,16386560,2887.17518,0.016,2.6851273238556477e-06,
0.21,15.5,3,500,8,16386560,2855.037848,0.006,4.882049679737541e-07,
