detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.17,log10_fsr_linear_vs_snr,6,13.0,15.5,0.006,0.498,-0.7468226276991331,9.452676159453151,0.9909062217805269,,0.01,-2.0,15.335202409087966,-0.16479759091203405
0.17,log10_fsr_linear_vs_snr,6,13.0,15.5,0.006,0.498,-0.7468226276991331,9.452676159453151,0.9909062217805269,,0.001,-3.0,16.674208436638143,1.1742084366381427
0.17,log10_fsr_linear_vs_snr,6,13.0,15.5,0.006,0.498,-0.7468226276991331,9.452676159453151,0.9909062217805269,,0.0001,-4.0,18.01321446418832,2.5132144641883194
0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.438,-0.7719039860986501,9.73352210770601,0.9776962690179379,,0.01,-2.0,15.200753356657048,-0.29924664334295237
0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.438,-0.7719039860986501,9.73352210770601,0.9776962690179379,,0.001,-3.0,16.49625126573534,0.9962512657353386
0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.438,-0.7719039860986501,9.73352210770601,0.9776962690179379,,0.0001,-4.0,17.79174917481363,2.2917491748136314
0.19,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.404,-0.7734999183500195,9.71104470562758,0.9886206853499556,,0.01,-2.0,15.140330887957727,-0.3596691120422726
0.19,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.404,-0.7734999183500195,9.71104470562758,0.9886206853499556,,0.001,-3.0,16.43315584666378,0.9331558466637802
0.19,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.404,-0.7734999183500195,9.71104470562758,0.9886206853499556,,0.0001,-4.0,17.725980805369836,2.2259808053698364
0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.378,-0.7529429924071239,9.407738863956139,0.9835266105686005,,0.01,-2.0,15.15086663797232,-0.34913336202768086
0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.378,-0.7529429924071239,9.407738863956139,0.9835266105686005,,0.001,-3.0,16.478988434820504,0.9789884348205042
0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.378,-0.7529429924071239,9.407738863956139,0.9835266105686005,,0.0001,-4.0,17.80711023166869,2.307110231668691
0.21,log10_fsr_linear_vs_snr,6,13.0,15.5,0.006,0.386,-0.6981869445997861,8.667756002909302,0.9878419439536553,,0.01,-2.0,15.279225836891378,-0.2207741631086222
0.21,log10_fsr_linear_vs_snr,6,13.0,15.5,0.006,0.386,-0.6981869445997861,8.667756002909302,0.9878419439536553,,0.001,-3.0,16.71150698699684,1.2115069869968416
0.21,log10_fsr_linear_vs_snr,6,13.0,15.5,0.006,0.386,-0.6981869445997861,8.667756002909302,0.9878419439536553,,0.0001,-4.0,18.1437881371023,2.6437881371023018
