detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.19,15.0,152,500,1192,16386560,3440.918563,0.304,7.274254022808936e-05,
0.19,15.5,75,500,484,16386560,3154.04348,0.15,2.9536400562412124e-05,
0.19,16.0,41,500,401,16386560,3015.050707,0.082,2.4471274019684425e-05,
0.19,16.5,21,500,115,16386560,2902.138986,0.042,7.017946414622715e-06,
0.19,17.0,13,500,71,16386560,2852.994492,0.026,4.332819090767068e-06,
0.19,17.5,9,500,70,16386560,2819.9161,0.018,4.271793469770349e-06,
0.19,18.0,1,500,8,16386560,2777.275834,0.002,4.882049679737541e-07,
0.2,15.0,158,500,1284,16386560,3423.29925,0.316,7.835689735978753e-05,
0.2,15.5,73,500,497,16386560,3154.158251,0.146,3.0329733635369472e-05,
0.2,16.0,49,500,449,16386560,3041.83335,0.098,2.740050382752695e-05,
0.2,16.5,26,500,143,16386560,2929.800697,0.052,8.726663802530854e-06,
0.2,17.0,17,500,112,16386560,2885.261294,0.034,6.834869551632557e-06,
0.2,17.5,9,500,70,16386560,2824.357156,0.018,4.271793469770349e-06,
0.2,18.0,2,500,13,16386560,2787.524137,0.004,7.933330729573504e-07,
0.21,15.0,164,500,1329,16386560,3437.37002,0.328,8.11030503046399e-05,
0.21,15.5,79,500,542,16386560,3154.302312,0.158,3.307588658022184e-05,
0.21,16.0,54,500,369,16386560,3061.97023,0.108,2.251845414778941e-05,
0.21,16.5,31,500,193,16386560,2953.207313,0.062,1.1777944852366817e-05,
0.21,17.0,19,500,123,16386560,2897.71545,0.038,7.506151382596469e-06,
0.21,17.5,9,500,70,16386560,2820.295146,0.018,4.271793469770349e-06,
0.21,18.0,3,500,23,16386560,2793.092085,0.006,1.403589282924543e-06,
0.22,15.0,170,500,1419,16386560,3452.075125,0.34,8.659535619434463e-05,
0.22,15.5,95,500,634,16386560,3215.122235,0.19,3.869024371192001e-05,
0.22,16.0,61,500,419,16386560,3084.777804,0.122,2.5569735197625373e-05,
0.22,16.5,33,500,208,16386560,2964.614501,0.066,1.2693329167317607e-05,
0.22,17.0,21,500,135,16386560,2890.270831,0.042,8.2384588345571e-06,
0.22,17.5,10,500,74,16386560,2829.230418,0.02,4.515895953757226e-06,
0.22,18.0,6,500,36,16386560,2809.902461,0.012,2.1969223558818934e-06,
0.3,15.0,293,500,2832,16386560,3606.397932,0.586,0.00017282455866270895,
0.3,15.5,188,500,1524,16386560,3481.323184,0.376,9.300304639900015e-05,
0.3,16.0,134,500,1004,16386560,3360.27917,0.268,6.126972348070614e-05,
0.3,16.5,87,500,548,16386560,3222.973436,0.174,3.344204030620216e-05,
0.3,17.0,57,500,388,16386560,3081.088883,0.114,2.3677940946727074e-05,
0.3,17.5,25,500,159,16386560,2900.089214,0.05,9.703073738478363e-06,
0.3,18.0,21,500,227,16386560,2904.278275,0.042,1.3852815966255272e-05,
