detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.17,15.0,166,500,1290,16386560,3445.267681,0.332,7.872305108576784e-05,
0.17,15.5,73,500,520,16386560,3179.782225,0.146,3.1733322918294016e-05,
0.17,16.0,42,500,438,16386560,3009.197441,0.084,2.6729221996563037e-05,
0.17,16.5,19,500,105,16386560,2872.449025,0.038,6.407690204655522e-06,
0.17,17.0,9,500,53,16386560,2819.074175,0.018,3.234357912826121e-06,
0.17,17.5,7,500,32,16386560,2803.525833,0.014,1.9528198718950165e-06,
0.17,18.0,2,500,14,16386560,2781.446475,0.004,8.543586939540696e-07,
0.18,15.0,154,500,1192,16386560,3429.454768,0.308,7.274254022808936e-05,
0.18,15.5,72,500,465,16386560,3164.475447,0.144,2.8376913763474456e-05,
0.18,16.0,40,500,413,16386560,2989.618157,0.08,2.5203581471645057e-05,
0.18,16.5,20,500,111,16386560,2886.527808,0.04,6.773843930635838e-06,
0.18,17.0,11,500,63,16386560,2827.996932,0.022,3.844614122793314e-06,
0.18,17.5,8,500,66,16386560,2813.660356,0.016,4.027690985783471e-06,
0.18,18.0,1,500,8,16386560,2773.144638,0.002,4.882049679737541e-07,
0.19,15.0,152,500,1192,16386560,3440.918563,0.304,7.274254022808936e-05,
0.19,15.5,75,500,484,16386560,3154.04348,0.15,2.9536400562412124e-05,
0.19,16.0,41,500,401,16386560,3015.050707,0.082,2.4471274019684425e-05,
0.19,16.5,21,500,115,16386560,2902.138986,0.042,7.017946414622715e-06,
0.19,17.0,13,500,71,16386560,2852.994492,0.026,4.332819090767068e-06,
0.19,17.5,9,500,70,16386560,2819.9161,0.018,4.271793469770349e-06,
0.19,18.0,1,500,8,16386560,2777.275834,0.002,4.882049679737541e-07,
0.2,15.0,158,500,1284,16386560,3423.29925,0.316,7.835689735978753e-05,
0.2,15.5,73,500,497,16386560,3154.158251,0.146,3.0329733635369472e-05,
0.2,16.0,49,500,449,16386560,3041.83335,0.098,2.740050382752695e-05,
0.2,16.5,26,500,143,16386560,2929.800697,0.052,8.726663802530854e-06,
0.2,17.0,17,500,112,16386560,2885.261294,0.034,6.834869551632557e-06,
0.2,17.5,9,500,70,16386560,2824.357156,0.018,4.271793469770349e-06,
0.2,18.0,2,500,13,16386560,2787.524137,0.004,7.933330729573504e-07,
0.21,15.0,164,500,1329,16386560,3437.37002,0.328,8.11030503046399e-05,
0.21,15.5,79,500,542,16386560,3154.302312,0.158,3.307588658022184e-05,
0.21,16.0,54,500,369,16386560,3061.97023,0.108,2.251845414778941e-05,
0.21,16.5,31,500,193,16386560,2953.207313,0.062,1.1777944852366817e-05,
0.21,17.0,19,500,123,16386560,2897.71545,0.038,7.506151382596469e-06,
0.21,17.5,9,500,70,16386560,2820.295146,0.018,4.271793469770349e-06,
0.21,18.0,3,500,23,16386560,2793.092085,0.006,1.403589282924543e-06,
0.22,15.0,170,500,1419,16386560,3452.075125,0.34,8.659535619434463e-05,
0.22,15.5,95,500,634,16386560,3215.122235,0.19,3.869024371192001e-05,
0.22,16.0,61,500,419,16386560,3084.777804,0.122,2.5569735197625373e-05,
0.22,16.5,33,500,208,16386560,2964.614501,0.066,1.2693329167317607e-05,
0.22,17.0,21,500,135,16386560,2890.270831,0.042,8.2384588345571e-06,
0.22,17.5,10,500,74,16386560,2829.230418,0.02,4.515895953757226e-06,
0.22,18.0,6,500,36,16386560,2809.902461,0.012,2.1969223558818934e-06,
0.3,15.5,188,500,1524,16386560,3481.323184,0.376,9.300304639900015e-05,
0.3,16.0,134,500,1004,16386560,3360.27917,0.268,6.126972348070614e-05,
0.3,16.5,87,500,548,16386560,3222.973436,0.174,3.344204030620216e-05,
0.3,17.0,57,500,388,16386560,3081.088883,0.114,2.3677940946727074e-05,
0.3,17.5,25,500,159,16386560,2900.089214,0.05,9.703073738478363e-06,
0.3,18.0,21,500,227,16386560,2904.278275,0.042,1.3852815966255272e-05,
