detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.17,log10_fsr_linear_vs_snr,7,15.0,18.0,0.004,0.332,-0.6044779070213708,8.572887516463569,0.9863050909293832,,0.01,-2.0,17.490941180237,-0.5090588197629984
0.17,log10_fsr_linear_vs_snr,7,15.0,18.0,0.004,0.332,-0.6044779070213708,8.572887516463569,0.9863050909293832,,0.001,-3.0,19.14526136032035,1.145261360320351
0.17,log10_fsr_linear_vs_snr,7,15.0,18.0,0.004,0.332,-0.6044779070213708,8.572887516463569,0.9863050909293832,,0.0001,-4.0,20.7995815404037,2.7995815404037003
0.18,log10_fsr_linear_vs_snr,7,15.0,18.0,0.002,0.308,-0.6451224633969839,9.215897195487043,0.9404312481095561,,0.01,-2.0,17.385686953804314,-0.6143130461956865
0.18,log10_fsr_linear_vs_snr,7,15.0,18.0,0.002,0.308,-0.6451224633969839,9.215897195487043,0.9404312481095561,,0.001,-3.0,18.935780241107253,0.9357802411072527
0.18,log10_fsr_linear_vs_snr,7,15.0,18.0,0.002,0.308,-0.6451224633969839,9.215897195487043,0.9404312481095561,,0.0001,-4.0,20.48587352841019,2.4858735284101883
0.19,log10_fsr_linear_vs_snr,7,15.0,18.0,0.002,0.304,-0.634714912582283,9.068125176776832,0.9244191247960853,,0.01,-2.0,17.437947269502647,-0.5620527304973528
0.19,log10_fsr_linear_vs_snr,7,15.0,18.0,0.002,0.304,-0.634714912582283,9.068125176776832,0.9244191247960853,,0.001,-3.0,19.01345775488196,1.0134577548819586
0.19,log10_fsr_linear_vs_snr,7,15.0,18.0,0.002,0.304,-0.634714912582283,9.068125176776832,0.9244191247960853,,0.0001,-4.0,20.58896824026127,2.58896824026127
0.2,log10_fsr_linear_vs_snr,7,15.0,18.0,0.004,0.316,-0.5693420809917016,8.074155875106452,0.957790535460379,,0.01,-2.0,17.69438130685669,-0.3056186931433089
0.2,log10_fsr_linear_vs_snr,7,15.0,18.0,0.004,0.316,-0.5693420809917016,8.074155875106452,0.957790535460379,,0.001,-3.0,19.450794601054376,1.4507946010543762
0.2,log10_fsr_linear_vs_snr,7,15.0,18.0,0.004,0.316,-0.5693420809917016,8.074155875106452,0.957790535460379,,0.0001,-4.0,21.20720789525206,3.2072078952520613
0.21,log10_fsr_linear_vs_snr,7,15.0,18.0,0.006,0.328,-0.5395412216111766,7.638652117692277,0.9764532918299282,,0.01,-2.0,17.86453329536038,-0.13546670463961874
0.21,log10_fsr_linear_vs_snr,7,15.0,18.0,0.006,0.328,-0.5395412216111766,7.638652117692277,0.9764532918299282,,0.001,-3.0,19.717959799110737,1.7179597991107372
0.21,log10_fsr_linear_vs_snr,7,15.0,18.0,0.006,0.328,-0.5395412216111766,7.638652117692277,0.9764532918299282,,0.0001,-4.0,21.571386302861097,3.5713863028610966
0.22,log10_fsr_linear_vs_snr,7,15.0,18.0,0.012,0.34,-0.4839607688456022,6.802437945426892,0.9970369919966937,,0.01,-2.0,18.18832953427911,0.18832953427910937
0.22,log10_fsr_linear_vs_snr,7,15.0,18.0,0.012,0.34,-0.4839607688456022,6.802437945426892,0.9970369919966937,,0.001,-3.0,20.25461272162364,2.2546127216236407
0.22,log10_fsr_linear_vs_snr,7,15.0,18.0,0.012,0.34,-0.4839607688456022,6.802437945426892,0.9970369919966937,,0.0001,-4.0,22.32089590896817,4.320895908968168
0.3,log10_fsr_linear_vs_snr,6,15.5,18.0,0.042,0.376,-0.40747608792418716,5.929057144948378,0.9775209339736317,,0.01,-2.0,19.458950794736246,1.4589507947362463
0.3,log10_fsr_linear_vs_snr,6,15.5,18.0,0.042,0.376,-0.40747608792418716,5.929057144948378,0.9775209339736317,,0.001,-3.0,21.913082533102337,3.9130825331023367
0.3,log10_fsr_linear_vs_snr,6,15.5,18.0,0.042,0.376,-0.40747608792418716,5.929057144948378,0.9775209339736317,,0.0001,-4.0,24.367214271468427,6.367214271468427
