detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.18,14.0,72,100,937,3280080,751.350956,0.72,0.00028566376429843175,
0.18,15.0,37,100,372,3280080,698.348331,0.37,0.00011341186800321943,
0.18,16.0,4,100,18,3280080,594.355261,0.04,5.487671032413843e-06,
0.18,17.0,3,100,9,3280080,588.068837,0.03,2.7438355162069216e-06,
0.18,18.0,0,100,0,3280080,575.507589,0.0,0.0,0.03
0.18,19.0,0,100,0,3280080,574.789591,0.0,0.0,0.03
0.19,14.0,72,100,880,3280080,746.634289,0.72,0.0002682861393624546,
0.19,15.0,37,100,364,3280080,710.119867,0.37,0.00011097290309992439,
0.19,16.0,6,100,30,3280080,607.068072,0.06,9.146118387356406e-06,
0.19,17.0,3,100,9,3280080,590.151228,0.03,2.7438355162069216e-06,
0.19,18.0,2,100,14,3280080,588.195149,0.02,4.268188580766323e-06,
0.19,19.0,0,100,0,3280080,575.2973,0.0,0.0,0.03
0.2,14.0,73,100,847,3280080,754.462429,0.73,0.00025822540913636254,
0.2,15.0,37,100,352,3280080,706.620044,0.37,0.00010731445574498183,
0.2,16.0,5,100,29,3280080,599.598264,0.05,8.841247774444525e-06,
0.2,17.0,3,100,9,3280080,589.188745,0.03,2.7438355162069216e-06,
0.2,18.0,2,100,14,3280080,588.208441,0.02,4.268188580766323e-06,
0.2,19.0,0,100,0,3280080,578.474277,0.0,0.0,0.03
0.21,14.0,72,100,831,3280080,755.228978,0.72,0.00025334747932977245,
0.21,15.0,37,100,363,3280080,704.663441,0.37,0.00011066803248701252,
0.21,16.0,6,100,33,3280080,603.717422,0.06,1.0060730226092047e-05,
0.21,17.0,3,100,17,3280080,595.702467,0.03,5.182800419501963e-06,
0.21,18.0,1,100,6,3280080,580.663755,0.01,1.829223677471281e-06,
0.21,19.0,0,100,0,3280080,575.160649,0.0,0.0,0.03
0.22,14.0,73,100,878,3280080,754.999166,0.73,0.0002676763981366308,
0.22,15.0,39,100,374,3280080,704.368607,0.39,0.00011402160922904319,
0.22,16.0,9,100,51,3280080,619.578083,0.09,1.554840125850589e-05,
0.22,17.0,4,100,31,3280080,602.838236,0.04,9.450989000268286e-06,
0.22,18.0,1,100,6,3280080,581.266509,0.01,1.829223677471281e-06,
0.22,19.0,0,100,0,3280080,573.653762,0.0,0.0,0.03
0.24,14.0,70,100,906,3280080,748.209715,0.7,0.00027621277529816347,
0.24,15.0,45,100,445,3280080,734.167413,0.45,0.0001356674227457867,
0.24,16.0,12,100,77,3280080,632.784826,0.12,2.3475037194214774e-05,
0.24,17.0,4,100,21,3280080,600.71248,0.04,6.402282871149484e-06,
0.24,18.0,1,100,6,3280080,581.761355,0.01,1.829223677471281e-06,
0.24,19.0,0,100,0,3280080,579.359346,0.0,0.0,0.03
0.27,14.0,80,100,1131,3280080,760.046018,0.8,0.0003448086632033365,
0.27,15.0,49,100,581,3280080,736.84554,0.49,0.0001771298261018024,
0.27,16.0,18,100,114,3280080,645.889459,0.18,3.475524987195434e-05,
0.27,17.0,6,100,32,3280080,606.906678,0.06,9.755859613180166e-06,
0.27,18.0,3,100,21,3280080,594.841056,0.03,6.402282871149484e-06,
0.27,19.0,1,100,3,3280080,580.987197,0.01,9.146118387356405e-07,
0.3,14.0,91,100,1614,3280080,758.40404,0.91,0.0004920611692397747,
0.3,15.0,62,100,788,3280080,755.309446,0.62,0.00024023804297456159,
0.3,16.0,26,100,165,3280080,679.747592,0.26,5.0303651130460235e-05,
0.3,17.0,7,100,41,3280080,611.763349,0.07,1.2499695129387088e-05,
0.3,18.0,3,100,23,3280080,593.33651,0.03,7.012024096973244e-06,
0.3,19.0,2,100,8,3280080,586.339718,0.02,2.4389649032950416e-06,
