detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.18,log10_fsr_linear_vs_snr,3,15.0,17.0,0.03,0.37,-0.5455402346736647,7.611104744816838,0.834628707193762,,0.01,-2.0,17.617591029864332,0.6175910298643323
0.18,log10_fsr_linear_vs_snr,3,15.0,17.0,0.03,0.37,-0.5455402346736647,7.611104744816838,0.834628707193762,,0.001,-3.0,19.450636397449706,2.4506363974497063
0.18,log10_fsr_linear_vs_snr,3,15.0,17.0,0.03,0.37,-0.5455402346736647,7.611104744816838,0.834628707193762,,0.0001,-4.0,21.283681765035084,4.283681765035084
0.19,log10_fsr_linear_vs_snr,4,15.0,18.0,0.02,0.37,-0.4102545180873026,5.550325604649064,0.892971787171598,,0.01,-2.0,18.404003543581563,0.4040035435815632
0.19,log10_fsr_linear_vs_snr,4,15.0,18.0,0.02,0.37,-0.4102545180873026,5.550325604649064,0.892971787171598,,0.001,-3.0,20.841514785778777,2.8415147857787773
0.19,log10_fsr_linear_vs_snr,4,15.0,18.0,0.02,0.37,-0.4102545180873026,5.550325604649064,0.892971787171598,,0.0001,-4.0,23.279026027975988,5.279026027975988
0.2,log10_fsr_linear_vs_snr,4,15.0,18.0,0.02,0.37,-0.40233639348254,5.399881237158574,0.8541459575901205,,0.01,-2.0,18.39227411944205,0.3922741194420496
0.2,log10_fsr_linear_vs_snr,4,15.0,18.0,0.02,0.37,-0.40233639348254,5.399881237158574,0.8541459575901205,,0.001,-3.0,20.877756457602434,2.877756457602434
0.2,log10_fsr_linear_vs_snr,4,15.0,18.0,0.02,0.37,-0.40233639348254,5.399881237158574,0.8541459575901205,,0.0001,-4.0,23.36323879576282,5.363238795762818
0.21,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.37,-0.500563516786497,6.9651665842697765,0.9641379307234871,,0.01,-2.0,17.91014783063714,-0.08985216936286022
0.21,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.37,-0.500563516786497,6.9651665842697765,0.9641379307234871,,0.001,-3.0,19.907896301040598,1.9078963010405978
0.21,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.37,-0.500563516786497,6.9651665842697765,0.9641379307234871,,0.0001,-4.0,21.905644771444056,3.905644771444056
0.22,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.39,-0.5125376339190866,7.243712736613377,0.9890159278946317,,0.01,-2.0,18.035188296187954,0.03518829618795394
0.22,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.39,-0.5125376339190866,7.243712736613377,0.9890159278946317,,0.001,-3.0,19.986264536879908,1.986264536879908
0.22,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.39,-0.5125376339190866,7.243712736613377,0.9890159278946317,,0.0001,-4.0,21.937340777571862,3.937340777571862
0.24,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.45,-0.54367587960457,7.804265451263137,0.9982052604435624,,0.01,-2.0,18.033291192528246,0.03329119252824597
0.24,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.45,-0.54367587960457,7.804265451263137,0.9982052604435624,,0.001,-3.0,19.872622377732426,1.8726223777324265
0.24,log10_fsr_linear_vs_snr,4,15.0,18.0,0.01,0.45,-0.54367587960457,7.804265451263137,0.9982052604435624,,0.0001,-4.0,21.71195356293661,3.7119535629366105
0.27,log10_fsr_linear_vs_snr,5,15.0,19.0,0.01,0.49,-0.41585434104406693,5.9096720157961595,0.9959442078224899,,0.01,-2.0,19.020294451989365,0.02029445198936486
0.27,log10_fsr_linear_vs_snr,5,15.0,19.0,0.01,0.49,-0.41585434104406693,5.9096720157961595,0.9959442078224899,,0.001,-3.0,21.42498258747773,2.4249825874777287
0.27,log10_fsr_linear_vs_snr,5,15.0,19.0,0.01,0.49,-0.41585434104406693,5.9096720157961595,0.9959442078224899,,0.0001,-4.0,23.829670722966096,4.829670722966096
0.3,log10_fsr_linear_vs_snr,4,16.0,19.0,0.02,0.26,-0.37098068422150965,5.251717633468596,0.9466622299229169,,0.01,-2.0,19.54742643457591,0.547426434575911
0.3,log10_fsr_linear_vs_snr,4,16.0,19.0,0.02,0.26,-0.37098068422150965,5.251717633468596,0.9466622299229169,,0.001,-3.0,22.242984566122477,3.2429845661224768
0.3,log10_fsr_linear_vs_snr,4,16.0,19.0,0.02,0.26,-0.37098068422150965,5.251717633468596,0.9466622299229169,,0.0001,-4.0,24.938542697669046,5.938542697669046
