iti_coeff,detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.15,0.15,12.0,41,100,376,3280080,690.455223,0.41,0.00011463135045486696,
0.15,0.15,12.5,94,500,613,16386560,3334.274402,0.188,3.7408705670988906e-05,
0.15,0.15,13.0,39,600,195,19666640,3635.567746,0.065,9.91526768171889e-06,
0.15,0.15,13.5,11,500,57,16386560,2939.693457,0.022,3.478460396812998e-06,
0.15,0.15,14.0,2,600,10,19666640,3433.958538,0.0033333333333333335,5.084752657291739e-07,
0.15,0.15,14.5,1,500,7,16386560,2875.215723,0.002,4.271793469770348e-07,
0.15,0.18,12.0,49,100,567,3280080,704.076851,0.49,0.00017286163752103608,
0.15,0.18,12.5,139,500,998,16386560,3451.248376,0.278,6.0903569754725824e-05,
0.15,0.18,13.0,51,600,303,19666640,3699.730816,0.085,1.5406800551593967e-05,
0.15,0.18,13.5,19,500,113,16386560,2982.130342,0.038,6.895895172629277e-06,
0.15,0.18,14.0,2,600,10,19666640,3433.7071419999997,0.0033333333333333335,5.084752657291739e-07,
0.15,0.18,14.5,1,500,7,16386560,2874.960017,0.002,4.271793469770348e-07,
0.15,0.2,12.5,214,500,1550,16386560,3624.38724,0.428,9.458971254491486e-05,
0.15,0.2,13.0,98,600,606,19666640,3920.9567159999997,0.16333333333333333,3.0813601103187934e-05,
0.15,0.2,13.5,33,500,205,16386560,3044.911407,0.066,1.2510252304327449e-05,
0.15,0.2,14.0,7,600,43,19666640,3471.041201,0.011666666666666667,2.1864436426354476e-06,
0.15,0.2,14.5,6,500,40,16386560,2911.152026,0.012,2.4410248398687704e-06,
0.15,0.2,15.0,1,600,10,19666640,3432.426481,0.0016666666666666668,5.084752657291739e-07,
0.15,0.22,13.0,33,100,212,3280080,683.030119,0.33,6.46325699373186e-05,
0.15,0.22,14.0,2,100,14,3280080,558.867049,0.02,4.268188580766323e-06,
0.15,0.25,14.0,17,100,109,3280080,628.854749,0.17,3.323089680739494e-05,
0.15,0.25,15.0,1,100,3,3280080,555.683444,0.01,9.146118387356405e-07,
0.2,0.15,13.0,18,100,165,3280080,628.744602,0.18,5.0303651130460235e-05,
0.2,0.17,12.5,141,500,1011,16386560,3356.312036,0.282,6.169690282768318e-05,
0.2,0.17,13.0,55,500,384,16386560,3145.500817,0.11,2.3433838462740197e-05,
0.2,0.17,13.5,18,500,91,16386560,2919.051286,0.036,5.5533315107014526e-06,
0.2,0.17,14.0,4,500,25,16386560,2832.992005,0.008,1.5256405249179816e-06,
0.2,0.18,12.5,135,500,913,16386560,3334.557671,0.27,5.5716391970004685e-05,
0.2,0.18,13.0,54,600,438,19666640,3670.536032,0.09,2.2271216638937814e-05,
0.2,0.18,13.5,21,500,123,16386560,2916.261905,0.042,7.506151382596469e-06,
0.2,0.18,14.0,4,600,24,19666640,3379.877638,0.006666666666666667,1.2203406377500173e-06,
0.2,0.2,12.5,127,500,838,16386560,3336.320675,0.254,5.1139470395250745e-05,
0.2,0.2,13.0,52,600,432,19666640,3647.5307000000003,0.08666666666666667,2.196613147950031e-05,
0.2,0.2,13.5,17,500,97,16386560,2898.525345,0.034,5.919485236681768e-06,
0.2,0.2,14.0,6,600,47,19666640,3387.3784180000002,0.01,2.3898337489271174e-06,
0.2,0.2,14.5,1,500,7,16386560,2823.563901,0.002,4.271793469770348e-07,
0.2,0.21,12.5,134,500,869,16386560,3358.336692,0.268,5.303126464614904e-05,
0.2,0.21,13.0,46,500,338,16386560,3050.73137,0.092,2.062665989689111e-05,
0.2,0.21,13.5,18,500,107,16386560,2897.458814,0.036,6.529741446648961e-06,
0.2,0.21,14.0,6,500,47,16386560,2839.459457,0.012,2.8682041868458052e-06,
0.2,0.21,14.5,1,500,7,16386560,2800.734057,0.002,4.271793469770348e-07,
0.2,0.22,13.0,9,100,91,3280080,599.110211,0.09,2.7743225774981097e-05,
0.2,0.22,14.0,2,100,10,3280080,561.566294,0.02,3.048706129118802e-06,
0.2,0.25,13.0,24,100,186,3280080,672.279909,0.24,5.670593400160972e-05,
0.2,0.25,14.0,2,100,10,3280080,561.3494,0.02,3.048706129118802e-06,
0.25,0.15,14.0,21,100,251,3280080,639.440987,0.21,7.652252384088192e-05,
0.25,0.15,15.0,5,100,26,3280080,579.167501,0.05,7.926635935708884e-06,
0.25,0.18,13.0,272,600,2363,19666640,4261.160472,0.4533333333333333,0.00012015270529180378,
0.25,0.18,13.5,119,500,798,16386560,3315.233731,0.238,4.869844555538197e-05,
0.25,0.18,14.0,59,600,402,19666640,3677.258614,0.09833333333333333,2.044070568231279e-05,
0.25,0.18,14.5,19,500,101,16386560,2914.057529,0.038,6.163587720668645e-06,
0.25,0.18,15.0,10,600,66,19666640,3395.2570539999997,0.016666666666666666,3.3559367538125474e-06,
0.25,0.18,15.5,2,500,14,16386560,2796.594308,0.004,8.543586939540696e-07,
0.25,0.2,13.0,245,600,1984,19666640,4276.888593,0.4083333333333333,0.0001008814927206681,
0.25,0.2,13.5,106,500,705,16386560,3274.305984,0.212,4.302306280268708e-05,
0.25,0.2,14.0,50,600,375,19666640,3634.038125,0.08333333333333333,1.9067822464844022e-05,
0.25,0.2,14.5,15,500,75,16386560,2883.528261,0.03,4.576921574753945e-06,
0.25,0.2,15.0,8,600,51,19666640,3377.468147,0.013333333333333334,2.5932238552187867e-06,
0.25,0.2,15.5,2,500,14,16386560,2794.041013,0.004,8.543586939540696e-07,
0.25,0.22,13.0,247,600,1933,19666640,4275.1881189999995,0.4116666666666667,9.82882688654493e-05,
0.25,0.22,13.5,96,500,685,16386560,3240.388595,0.192,4.1802550382752696e-05,
0.25,0.22,14.0,57,600,447,19666640,3663.271364,0.095,2.2728844378094073e-05,
0.25,0.22,14.5,18,500,97,16386560,2911.537407,0.036,5.919485236681768e-06,
0.25,0.22,15.0,10,600,61,19666640,3389.2129560000003,0.016666666666666666,3.101699120947961e-06,
0.25,0.22,15.5,5,500,33,16386560,2808.77127,0.01,2.0138454928917355e-06,
0.25,0.25,13.0,279,600,2378,19666640,4358.263244,0.465,0.00012091541819039754,
0.25,0.25,13.5,123,500,807,16386560,3338.753771,0.246,4.9247676144352446e-05,
0.25,0.25,14.0,76,600,474,19666640,3733.099145,0.12666666666666668,2.4101727595562842e-05,
0.25,0.25,14.5,27,500,142,16386560,2947.144866,0.054,8.665638181534136e-06,
0.25,0.25,15.0,15,600,84,19666640,3411.536685,0.025,4.271192232125061e-06,
0.25,0.25,15.5,11,500,76,16386560,2841.52742,0.022,4.637947195750664e-06,
