iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.15,0.15,log10_fsr_linear_vs_snr,6,12.0,14.5,0.002,0.41,-1.035937245897881,12.22307007777001,0.9781877170489528,,0.01,-2.0,13.729663774606738,-0.7703362253932617
0.15,0.15,log10_fsr_linear_vs_snr,6,12.0,14.5,0.002,0.41,-1.035937245897881,12.22307007777001,0.9781877170489528,,0.001,-3.0,14.694973211988023,0.19497321198802275
0.15,0.15,log10_fsr_linear_vs_snr,6,12.0,14.5,0.002,0.41,-1.035937245897881,12.22307007777001,0.9781877170489528,,0.0001,-4.0,15.660282649369305,1.1602826493693055
0.15,0.18,log10_fsr_linear_vs_snr,6,12.0,14.5,0.002,0.49,-1.1126951653507622,13.355642992912585,0.9523759026193422,,0.01,-2.0,13.800404163769262,-0.6995958362307384
0.15,0.18,log10_fsr_linear_vs_snr,6,12.0,14.5,0.002,0.49,-1.1126951653507622,13.355642992912585,0.9523759026193422,,0.001,-3.0,14.699122906458113,0.19912290645811304
0.15,0.18,log10_fsr_linear_vs_snr,6,12.0,14.5,0.002,0.49,-1.1126951653507622,13.355642992912585,0.9523759026193422,,0.0001,-4.0,15.597841649146963,1.0978416491469627
0.15,0.2,log10_fsr_linear_vs_snr,6,12.5,15.0,0.0016666666666666668,0.428,-0.9346685767467389,11.347543487022458,0.9641110870359133,,0.01,-2.0,14.280509497260178,-0.7194905027398217
0.15,0.2,log10_fsr_linear_vs_snr,6,12.5,15.0,0.0016666666666666668,0.428,-0.9346685767467389,11.347543487022458,0.9641110870359133,,0.001,-3.0,15.350407453475478,0.3504074534754782
0.15,0.2,log10_fsr_linear_vs_snr,6,12.5,15.0,0.0016666666666666668,0.428,-0.9346685767467389,11.347543487022458,0.9641110870359133,,0.0001,-4.0,16.42030540969078,1.42030540969078
0.15,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.33,-1.2174839442139036,15.345805214658625,1.0,,0.01,-2.0,14.247255823860858,0.24725582386085776
0.15,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.33,-1.2174839442139036,15.345805214658625,1.0,,0.001,-3.0,15.068621891768778,1.0686218917687782
0.15,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.33,-1.2174839442139036,15.345805214658625,1.0,,0.0001,-4.0,15.889987959676699,1.8899879596766986
0.15,0.25,log10_fsr_linear_vs_snr,2,14.0,15.0,0.01,0.17,-1.2304489213782805,16.456733820674206,1.0,,0.01,-2.0,14.999999999999998,-1.7763568394002505e-15
0.15,0.25,log10_fsr_linear_vs_snr,2,14.0,15.0,0.01,0.17,-1.2304489213782805,16.456733820674206,1.0,,0.001,-3.0,15.812711509291953,0.8127115092919528
0.15,0.25,log10_fsr_linear_vs_snr,2,14.0,15.0,0.01,0.17,-1.2304489213782805,16.456733820674206,1.0,,0.0001,-4.0,16.625423018583906,1.6254230185839056
0.2,0.15,log10_fsr_linear_vs_snr,1,13.0,13.0,0.18,0.18,,,,insufficient nonzero/non-saturated FSR points (<2),0.01,-2.0,,
0.2,0.15,log10_fsr_linear_vs_snr,1,13.0,13.0,0.18,0.18,,,,insufficient nonzero/non-saturated FSR points (<2),0.001,-3.0,,
0.2,0.15,log10_fsr_linear_vs_snr,1,13.0,13.0,0.18,0.18,,,,insufficient nonzero/non-saturated FSR points (<2),0.0001,-4.0,,
0.2,0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.282,-1.0253135096746397,12.323162573498179,0.988453999460317,,0.01,-2.0,13.969544376766589,-0.030455623233411444
0.2,0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.282,-1.0253135096746397,12.323162573498179,0.988453999460317,,0.001,-3.0,14.944855821085046,0.9448558210850457
0.2,0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.282,-1.0253135096746397,12.323162573498179,0.988453999460317,,0.0001,-4.0,15.920167265403506,1.9201672654035065
0.2,0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.006666666666666667,0.27,-1.0420011847862687,12.509378124212573,0.9671380064667691,,0.01,-2.0,13.924531311534622,-0.07546868846537791
0.2,0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.006666666666666667,0.27,-1.0420011847862687,12.509378124212573,0.9671380064667691,,0.001,-3.0,14.88422311860787,0.8842231186078706
0.2,0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.006666666666666667,0.27,-1.0420011847862687,12.509378124212573,0.9671380064667691,,0.0001,-4.0,15.843914925681121,1.843914925681121
0.2,0.2,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.254,-1.0255826834256347,12.28291532647339,0.9886679169629573,,0.01,-2.0,13.926634641261519,-0.5733653587384815
0.2,0.2,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.254,-1.0255826834256347,12.28291532647339,0.9886679169629573,,0.001,-3.0,14.901690105985061,0.40169010598506105
0.2,0.2,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.254,-1.0255826834256347,12.28291532647339,0.9886679169629573,,0.0001,-4.0,15.876745570708604,1.3767455707086036
0.2,0.21,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.268,-1.0277632356055082,12.340490953445007,0.9822607421523719,,0.01,-2.0,13.953107541345636,-0.546892458654364
0.2,0.21,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.268,-1.0277632356055082,12.340490953445007,0.9822607421523719,,0.001,-3.0,14.92609428124478,0.42609428124477944
0.2,0.21,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.268,-1.0277632356055082,12.340490953445007,0.9822607421523719,,0.0001,-4.0,15.899081021143923,1.3990810211439229
0.2,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.09,-0.6532125137753418,7.446005188518765,1.0,,0.01,-2.0,14.460845420618368,0.46084542061836764
0.2,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.09,-0.6532125137753418,7.446005188518765,1.0,,0.001,-3.0,15.99174077077072,1.9917407707707202
0.2,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.09,-0.6532125137753418,7.446005188518765,1.0,,0.0001,-4.0,17.52263612092307,3.522636120923071
0.2,0.25,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.24,-1.0791812460476222,13.409567440330685,1.0,,0.01,-2.0,14.278942945651124,0.2789429456511243
0.2,0.25,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.24,-1.0791812460476222,13.409567440330685,1.0,,0.001,-3.0,15.20557135368025,1.2055713536802504
0.2,0.25,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.24,-1.0791812460476222,13.409567440330685,1.0,,0.0001,-4.0,16.13219976170938,2.13219976170938
0.25,0.15,log10_fsr_linear_vs_snr,2,14.0,15.0,0.05,0.21,-0.6232492903979039,8.047709360304577,1.0,,0.01,-2.0,16.12149346193362,1.1214934619336212
0.25,0.15,log10_fsr_linear_vs_snr,2,14.0,15.0,0.05,0.21,-0.6232492903979039,8.047709360304577,1.0,,0.001,-3.0,17.72598786795463,2.725987867954629
0.25,0.15,log10_fsr_linear_vs_snr,2,14.0,15.0,0.05,0.21,-0.6232492903979039,8.047709360304577,1.0,,0.0001,-4.0,19.33048227397564,4.33048227397564
0.25,0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.4533333333333333,-0.8013919851576115,10.159740689201737,0.9867790800312763,,0.01,-2.0,15.173274645129194,-0.32672535487080623
