iti_coeff,detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.15,0.15,12.0,41,100,376,3280080,690.455223,0.41,0.00011463135045486696,
0.15,0.15,13.0,5,100,26,3280080,579.775232,0.05,7.926635935708884e-06,
0.15,0.15,14.0,1,100,6,3280080,555.433381,0.01,1.829223677471281e-06,
0.15,0.18,12.0,49,100,567,3280080,704.076851,0.49,0.00017286163752103608,
0.15,0.18,13.0,8,100,37,3280080,582.833456,0.08,1.1280212677739567e-05,
0.15,0.18,14.0,1,100,6,3280080,556.143435,0.01,1.829223677471281e-06,
0.15,0.2,12.0,67,100,804,3280080,710.221317,0.67,0.00024511597278115165,
0.15,0.2,13.0,14,100,118,3280080,615.999524,0.14,3.5974732323601864e-05,
0.15,0.2,14.0,1,100,6,3280080,556.544794,0.01,1.829223677471281e-06,
0.15,0.22,13.0,33,100,212,3280080,683.030119,0.33,6.46325699373186e-05,
0.15,0.22,14.0,2,100,14,3280080,558.867049,0.02,4.268188580766323e-06,
0.15,0.25,13.0,69,100,693,3280080,724.930655,0.69,0.00021127533474793299,
0.15,0.25,14.0,17,100,109,3280080,628.854749,0.17,3.323089680739494e-05,
0.15,0.25,15.0,1,100,3,3280080,555.683444,0.01,9.146118387356405e-07,
0.2,0.15,12.0,72,100,761,3280080,718.825536,0.72,0.00023200653642594082,
0.2,0.15,13.0,18,100,165,3280080,628.744602,0.18,5.0303651130460235e-05,
0.2,0.18,12.0,59,100,539,3280080,717.058444,0.59,0.00016432526035950343,
0.2,0.18,13.0,4,100,79,3280080,568.81219,0.04,2.4084778420038536e-05,
0.2,0.2,12.0,57,100,534,3280080,718.180684,0.57,0.00016280090729494404,
0.2,0.2,13.0,7,100,100,3280080,582.124131,0.07,3.048706129118802e-05,
0.2,0.22,12.0,63,100,609,3280080,716.11979,0.63,0.00018566620326333503,
0.2,0.22,13.0,9,100,91,3280080,599.110211,0.09,2.7743225774981097e-05,
0.2,0.22,14.0,2,100,10,3280080,561.566294,0.02,3.048706129118802e-06,
0.2,0.25,13.0,24,100,186,3280080,672.279909,0.24,5.670593400160972e-05,
0.2,0.25,14.0,2,100,10,3280080,561.3494,0.02,3.048706129118802e-06,
0.25,0.15,13.0,72,100,754,3280080,730.846855,0.72,0.00022987244213555768,
0.25,0.15,14.0,21,100,251,3280080,639.440987,0.21,7.652252384088192e-05,
0.25,0.15,15.0,5,100,26,3280080,579.167501,0.05,7.926635935708884e-06,
0.25,0.18,13.0,49,100,396,3280080,725.807568,0.49,0.00012072876271310456,
0.25,0.18,14.0,10,100,57,3280080,598.047392,0.1,1.737762493597717e-05,
0.25,0.18,15.0,1,100,4,3280080,556.76961,0.01,1.2194824516475208e-06,
0.25,0.2,13.0,46,100,345,3280080,728.181486,0.46,0.00010518036145459867,
0.25,0.2,14.0,7,100,52,3280080,586.123059,0.07,1.585327187141777e-05,
0.25,0.2,15.0,1,100,4,3280080,557.955469,0.01,1.2194824516475208e-06,
0.25,0.22,13.0,46,100,325,3280080,723.51339,0.46,9.908294919636106e-05,
0.25,0.22,14.0,9,100,80,3280080,600.925556,0.09,2.4389649032950417e-05,
0.25,0.22,15.0,1,100,4,3280080,556.799401,0.01,1.2194824516475208e-06,
0.25,0.25,13.0,54,100,400,3280080,724.934452,0.54,0.00012194824516475208,
0.25,0.25,14.0,16,100,116,3280080,623.938343,0.16,3.53649910977781e-05,
0.25,0.25,15.0,3,100,11,3280080,568.856053,0.03,3.353576742030682e-06,
