iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.15,0.15,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.41,-0.8063919283598685,9.253679689030205,0.994119545859419,,0.01,-2.0,13.95559565175611,-0.04440434824389072
0.15,0.15,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.41,-0.8063919283598685,9.253679689030205,0.994119545859419,,0.001,-3.0,15.19568742950234,1.1956874295023407
0.15,0.15,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.41,-0.8063919283598685,9.253679689030205,0.994119545859419,,0.0001,-4.0,16.43577920724857,2.4357792072485687
0.15,0.18,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.49,-0.8450980400142581,9.85070320919217,0.9984328203476617,,0.01,-2.0,14.022873853774682,0.022873853774681763
0.15,0.18,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.49,-0.8450980400142581,9.85070320919217,0.9984328203476617,,0.001,-3.0,15.206168516229619,1.206168516229619
0.15,0.18,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.49,-0.8450980400142581,9.85070320919217,0.9984328203476617,,0.0001,-4.0,16.389463178684554,2.3894631786845544
0.15,0.2,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.67,-0.9130374013504148,10.860220497015074,0.9787373486624154,,0.01,-2.0,14.085097147164346,0.0850971471643458
0.15,0.2,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.67,-0.9130374013504148,10.860220497015074,0.9787373486624154,,0.001,-3.0,15.180342531987534,1.1803425319875345
0.15,0.2,log10_fsr_linear_vs_snr,3,12.0,14.0,0.01,0.67,-0.9130374013504148,10.860220497015074,0.9787373486624154,,0.0001,-4.0,16.275587916810725,2.275587916810725
0.15,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.33,-1.2174839442139036,15.345805214658625,1.0,,0.01,-2.0,14.247255823860858,0.24725582386085776
0.15,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.33,-1.2174839442139036,15.345805214658625,1.0,,0.001,-3.0,15.068621891768778,1.0686218917687782
0.15,0.22,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.33,-1.2174839442139036,15.345805214658625,1.0,,0.0001,-4.0,15.889987959676699,1.8899879596766986
0.15,0.25,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.69,-0.919424545368628,11.895042972532636,0.963256757652367,,0.01,-2.0,15.112760522356567,0.11276052235656664
0.15,0.25,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.69,-0.919424545368628,11.895042972532636,0.963256757652367,,0.001,-3.0,16.20039735458739,1.2003973545873912
0.15,0.25,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.69,-0.919424545368628,11.895042972532636,0.963256757652367,,0.0001,-4.0,17.288034186818216,2.2880341868182157
0.2,0.15,log10_fsr_linear_vs_snr,2,12.0,13.0,0.18,0.72,-0.602059991327963,7.0820523923668235,1.0,,0.01,-2.0,15.08496250072115,2.0849625007211507
0.2,0.15,log10_fsr_linear_vs_snr,2,12.0,13.0,0.18,0.72,-0.602059991327963,7.0820523923668235,1.0,,0.001,-3.0,16.74592654816483,3.7459265481648316
0.2,0.15,log10_fsr_linear_vs_snr,2,12.0,13.0,0.18,0.72,-0.602059991327963,7.0820523923668235,1.0,,0.0001,-4.0,18.40689059560851,5.406890595608509
