family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,detector_tap_source,detector_taps_matched,true_iti_coeff,detector_iti_coeff,true_tap_c0,detector_tap_c0,detector_tap_delta_c0,true_tap_c_down_prev,detector_tap_c_down_prev,detector_tap_delta_c_down_prev,true_tap_c_down_next,detector_tap_c_down_next,detector_tap_delta_c_down_next,true_tap_c_cross_up,detector_tap_c_cross_up,detector_tap_delta_c_cross_up,true_tap_c_cross_down,detector_tap_c_cross_down,detector_tap_delta_c_cross_down,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,13.0,0.15,16386560,188,1.1472816747383221e-05,37,0.00390625,431,3027.747466,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,1.3490052552552553e-05,1.3490052552552553e-05,3.079251126126126e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.22387211385683395,zero,0.01,True,ldpc_override,False,0.15,0.14,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.14,-0.009999999999999981,0.15,0.14,-0.009999999999999981,32768,4096.0,500,2560,36,0.072,0.072,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.0,0.15,16386560,173,1.0557432432432433e-05,34,0.0035895270270270272,431,3012.734773,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,1.3020833333333334e-05,1.3020833333333334e-05,2.859304617117117e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.22387211385683395,zero,0.01,True,ldpc_override,True,0.15,0.15,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,32768,4096.0,500,2560,34,0.068,0.068,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.0,0.15,16386560,169,1.0313329948445555e-05,34,0.0035895270270270272,431,3000.422576,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,1.343140015015015e-05,1.343140015015015e-05,2.9142912443693692e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.22387211385683395,zero,0.01,True,ldpc_override,False,0.15,0.16,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.16,0.010000000000000009,0.15,0.16,0.010000000000000009,32768,4096.0,500,2560,34,0.068,0.068,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.0,0.15,16386560,224,1.3669739103265114e-05,43,0.0045396959459459455,431,3050.03482,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,1.7947635135135135e-05,1.7947635135135135e-05,3.739090653153153e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.22387211385683395,zero,0.01,True,ldpc_override,False,0.15,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.18,0.03,0.15,0.18,0.03,32768,4096.0,500,2560,42,0.084,0.084,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.5,0.15,16386560,29,1.7697430089048585e-06,5,0.0005278716216216217,431,2847.619734,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,2.580705705705706e-06,2.580705705705706e-06,5.498662725225225e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.21134890398366465,zero,0.01,True,ldpc_override,False,0.15,0.14,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.14,-0.009999999999999981,0.15,0.14,-0.009999999999999981,32768,4096.0,500,2560,5,0.01,0.01,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.5,0.15,16386560,37,2.257947976878613e-06,7,0.0007390202702702703,431,2850.284849,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,2.9912725225225225e-06,2.9912725225225225e-06,6.048528997747747e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.21134890398366465,zero,0.01,True,ldpc_override,True,0.15,0.15,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,32768,4096.0,500,2560,7,0.014,0.014,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.5,0.15,16386560,45,2.7461529448523668e-06,9,0.000950168918918919,431,2867.995835,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,3.4018393393393395e-06,3.4018393393393395e-06,7.148261542792793e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.21134890398366465,zero,0.01,True,ldpc_override,False,0.15,0.16,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.16,0.010000000000000009,0.15,0.16,0.010000000000000009,32768,4096.0,500,2560,9,0.018,0.018,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,13.5,0.15,16386560,54,3.29538353382284e-06,10,0.0010557432432432433,431,2869.655971,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,4.164320570570571e-06,4.164320570570571e-06,8.247994087837838e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.21134890398366465,zero,0.01,True,ldpc_override,False,0.15,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.18,0.03,0.15,0.18,0.03,32768,4096.0,500,2560,10,0.02,0.02,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,14.0,0.15,16386560,16,9.764099359475082e-07,3,0.000316722972972973,431,2829.813894,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,1.0557432432432433e-06,1.0557432432432433e-06,2.19946509009009e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.19952623149688797,zero,0.01,True,ldpc_override,False,0.15,0.14,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.14,-0.009999999999999981,0.15,0.14,-0.009999999999999981,32768,4096.0,500,2560,3,0.006,0.006,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,14.0,0.15,16386560,13,7.933330729573504e-07,2,0.00021114864864864866,431,2819.167749,highrate_k15_eqpilot_bcjr2_phase2_trueiti015_map_500sector,8.79786036036036e-07,8.79786036036036e-07,1.6495988175675677e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.19952623149688797,zero,0.01,True,ldpc_override,True,0.15,0.15,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,32768,4096.0,500,2560,2,0.004,0.004,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
