iti_coeff,detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.15,0.14,13.0,36,500,188,16386560,3027.747466,0.072,1.1472816747383221e-05,
0.15,0.14,13.5,5,500,29,16386560,2847.619734,0.01,1.7697430089048585e-06,
0.15,0.14,14.0,3,500,16,16386560,2829.813894,0.006,9.764099359475082e-07,
0.15,0.15,13.0,34,500,173,16386560,3012.734773,0.068,1.0557432432432433e-05,
0.15,0.15,13.5,7,500,37,16386560,2850.284849,0.014,2.257947976878613e-06,
0.15,0.15,14.0,2,500,13,16386560,2819.167749,0.004,7.933330729573504e-07,
0.15,0.16,13.0,34,500,169,16386560,3000.422576,0.068,1.0313329948445555e-05,
0.15,0.16,13.5,9,500,45,16386560,2867.995835,0.018,2.7461529448523668e-06,
0.15,0.16,14.0,2,500,13,16386560,2826.479734,0.004,7.933330729573504e-07,
0.15,0.18,13.0,42,500,224,16386560,3050.03482,0.084,1.3669739103265114e-05,
0.15,0.18,13.5,10,500,54,16386560,2869.655971,0.02,3.29538353382284e-06,
0.15,0.18,14.0,3,500,15,16386560,2828.161984,0.006,9.15384314950789e-07,
0.15,0.18,14.5,1,500,8,16386560,2820.000743,0.002,4.882049679737541e-07,
0.2,0.16,13.0,75,500,445,16386560,3203.539156,0.15,2.7156401343540072e-05,
0.2,0.16,13.5,17,500,102,16386560,2886.503169,0.034,6.224613341665364e-06,
0.2,0.16,14.0,3,500,9,16386560,2813.071201,0.006,5.492305889704734e-07,
0.2,0.16,14.5,4,500,25,16386560,2821.667477,0.008,1.5256405249179816e-06,
0.2,0.16,15.0,2,500,8,16386560,2801.568375,0.004,4.882049679737541e-07,
0.2,0.17,13.0,61,500,362,16386560,3144.963474,0.122,2.2091274800812374e-05,
0.2,0.17,13.5,11,500,65,16386560,2857.225583,0.022,3.966665364786752e-06,
0.2,0.17,14.0,1,500,1,16386560,2791.892896,0.002,6.102562099671926e-08,
0.2,0.17,14.5,2,500,15,16386560,2801.079435,0.004,9.15384314950789e-07,
0.2,0.17,15.0,2,500,8,16386560,2796.683955,0.004,4.882049679737541e-07,
0.2,0.18,13.0,56,500,328,16386560,3108.475925,0.112,2.001640368692392e-05,
0.2,0.18,13.5,11,500,65,16386560,2861.222296,0.022,3.966665364786752e-06,
0.2,0.18,14.0,1,500,1,16386560,2804.034712,0.002,6.102562099671926e-08,
0.2,0.18,14.5,2,500,15,16386560,2802.400065,0.004,9.15384314950789e-07,
0.2,0.18,15.0,2,500,8,16386560,2800.352231,0.004,4.882049679737541e-07,
0.2,0.19,13.0,54,500,309,16386560,3084.038223,0.108,1.885691688798625e-05,
0.2,0.19,13.5,10,500,60,16386560,2849.433543,0.02,3.661537259803156e-06,
0.2,0.19,14.0,1,500,1,16386560,2792.921808,0.002,6.102562099671926e-08,
0.2,0.19,14.5,2,500,12,16386560,2818.714795,0.004,7.323074519606312e-07,
0.2,0.19,15.0,2,500,8,16386560,2796.905816,0.004,4.882049679737541e-07,
0.2,0.2,13.0,53,500,300,16386560,3071.466576,0.106,1.830768629901578e-05,
0.2,0.2,13.5,11,500,72,16386560,2861.502131,0.022,4.393844711763787e-06,
0.2,0.2,14.5,2,500,12,16386560,2804.71061,0.004,7.323074519606312e-07,
0.2,0.2,15.0,2,500,8,16386560,2799.558232,0.004,4.882049679737541e-07,
0.25,0.17,14.5,23,500,178,16386560,2917.912396,0.046,1.0862560537416029e-05,
0.25,0.17,15.0,6,500,29,16386560,2827.725972,0.012,1.7697430089048585e-06,
0.25,0.17,15.5,1,500,4,16386560,2792.248027,0.002,2.4410248398687706e-07,
0.25,0.18,14.5,19,500,149,16386560,2901.360658,0.038,9.09281752851117e-06,
0.25,0.18,15.0,4,500,21,16386560,2813.633962,0.008,1.2815380409311044e-06,
0.25,0.18,15.5,1,500,4,16386560,2793.761649,0.002,2.4410248398687706e-07,
0.25,0.18,16.0,1,500,8,16386560,2785.27407,0.002,4.882049679737541e-07,
0.25,0.19,14.5,15,500,121,16386560,2876.29337,0.03,7.384100140603031e-06,
0.25,0.19,15.0,6,500,41,16386560,2820.472014,0.012,2.50205046086549e-06,
0.25,0.19,15.5,1,500,4,16386560,2795.429374,0.002,2.4410248398687706e-07,
0.25,0.19,16.0,1,500,7,16386560,2791.329039,0.002,4.271793469770348e-07,
0.25,0.2,14.5,17,500,137,16386560,2881.09161,0.034,8.36051007655054e-06,
0.25,0.2,15.0,6,500,47,16386560,2826.055962,0.012,2.8682041868458052e-06,
0.25,0.2,15.5,2,500,12,16386560,2798.81313,0.004,7.323074519606312e-07,
0.25,0.2,16.0,1,500,7,16386560,2803.999656,0.002,4.271793469770348e-07,
0.25,0.21,14.5,21,500,180,16386560,2908.158331,0.042,1.0984611779409467e-05,
0.25,0.21,15.0,6,500,47,16386560,2823.677634,0.012,2.8682041868458052e-06,
0.25,0.21,15.5,1,500,8,16386560,2789.498226,0.002,4.882049679737541e-07,
0.25,0.21,16.0,1,500,7,16386560,2794.676224,0.002,4.271793469770348e-07,
