detector_iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.16,16.0,97,100,2151,3280080,743.166408,0.97,0.0006557766883734543,
0.16,17.0,67,100,716,3280080,743.493897,0.67,0.00021828735884490622,
0.16,18.0,37,100,369,3280080,712.761818,0.37,0.0001124972561644838,
0.16,19.0,11,100,86,3280080,603.728868,0.11,2.6218872710421695e-05,
0.16,20.0,8,100,83,3280080,615.370759,0.08,2.5304260871686056e-05,
0.16,21.0,1,100,6,3280080,561.772732,0.01,1.829223677471281e-06,
0.16,22.0,1,100,12,3280080,568.241011,0.01,3.658447354942562e-06,
0.16,23.0,0,100,0,3280080,564.096203,0.0,0.0,0.03
0.18,16.0,94,100,2057,3280080,735.017217,0.94,0.0006271188507597376,
0.18,17.0,68,100,834,3280080,737.382605,0.68,0.00025426209116850807,
0.18,18.0,44,100,526,3280080,709.211957,0.44,0.000160361942391649,
0.18,19.0,18,100,138,3280080,647.580262,0.18,4.207214458183947e-05,
0.18,20.0,11,100,123,3280080,643.848343,0.11,3.7499085388161265e-05,
0.18,21.0,4,100,27,3280080,579.684075,0.04,8.231506548620765e-06,
0.18,22.0,4,100,60,3280080,579.545363,0.04,1.8292236774712813e-05,
0.18,23.0,3,100,29,3280080,582.425646,0.03,8.841247774444525e-06,
0.2,16.0,96,100,2118,3280080,742.784393,0.96,0.0006457159581473623,
0.2,17.0,74,100,1036,3280080,736.777032,0.74,0.0003158459549767079,
0.2,18.0,50,100,535,3280080,738.543176,0.5,0.0001631057779078559,
0.2,19.0,25,100,195,3280080,680.66047,0.25,5.944976951781664e-05,
0.2,20.0,19,100,206,3280080,664.325664,0.19,6.280334625984732e-05,
0.2,21.0,3,100,25,3280080,579.181999,0.03,7.621765322797005e-06,
0.2,22.0,5,100,53,3280080,594.50442,0.05,1.615814248432965e-05,
0.2,23.0,4,100,28,3280080,584.717686,0.04,8.536377161532646e-06,
0.22,16.0,97,100,2383,3280080,742.94087,0.97,0.0007265066705690105,
0.22,17.0,78,100,1200,3280080,744.189529,0.78,0.00036584473549425625,
0.22,18.0,55,100,635,3280080,730.235307,0.55,0.00019359283919904391,
0.22,19.0,36,100,283,3280080,696.068028,0.36,8.62783834540621e-05,
0.22,20.0,34,100,305,3280080,695.529315,0.34,9.298553693812346e-05,
0.22,21.0,14,100,95,3280080,627.35883,0.14,2.896270822662862e-05,
0.22,22.0,14,100,120,3280080,631.928501,0.14,3.6584473549425625e-05,
0.22,23.0,10,100,317,3280080,619.154755,0.1,9.664398429306603e-05,
0.24,16.0,98,100,2621,3280080,743.336064,0.98,0.000799065876442038,
0.24,17.0,84,100,1394,3280080,743.713128,0.84,0.000424989634399161,
0.24,18.0,59,100,741,3280080,731.24507,0.59,0.00022590912416770321,
0.24,19.0,39,100,306,3280080,719.242842,0.39,9.329040755103534e-05,
0.24,20.0,40,100,356,3280080,696.476384,0.4,0.00010853393819662935,
0.24,21.0,20,100,123,3280080,647.220842,0.2,3.7499085388161265e-05,
0.24,22.0,20,100,158,3280080,656.895051,0.2,4.816955684007707e-05,
0.24,23.0,25,100,422,3280080,656.736495,0.25,0.00012865539864881343,
0.27,16.0,99,100,3215,3280080,735.753837,0.99,0.0009801590205116948,
0.27,17.0,90,100,1651,3280080,743.376745,0.9,0.0005033413819175142,
0.27,18.0,70,100,873,3280080,743.335594,0.7,0.0002661520450720714,
0.27,19.0,48,100,421,3280080,717.401341,0.48,0.00012835052803590157,
0.27,20.0,46,100,443,3280080,701.210463,0.46,0.00013505768151996292,
0.27,21.0,32,100,227,3280080,677.432307,0.32,6.920562913099681e-05,
0.27,22.0,25,100,221,3280080,671.3022,0.25,6.737640545352552e-05,
0.27,23.0,35,100,513,3280080,692.409433,0.35,0.00015639862442379455,
0.3,16.0,100,100,3709,3280080,734.831177,1.0,0.0011307651032901637,
0.3,17.0,94,100,1888,3280080,743.591085,0.94,0.0005755957171776298,
0.3,18.0,72,100,956,3280080,745.673844,0.72,0.00029145630594375747,
0.3,19.0,55,100,529,3280080,728.685538,0.55,0.00016127655423038461,
0.3,20.0,51,100,493,3280080,714.10087,0.51,0.00015030121216555694,
0.3,21.0,40,100,271,3280080,696.906996,0.4,8.261993609911953e-05,
0.3,22.0,28,100,234,3280080,684.123762,0.28,7.133972342137997e-05,
0.3,23.0,40,100,600,3280080,703.309988,0.4,0.00018292236774712813,
0.35,16.0,100,100,5277,3280080,740.986,1.0,0.0016088022243359917,
0.35,17.0,97,100,2275,3280080,743.961289,0.97,0.0006935806443745274,
0.35,18.0,75,100,1165,3280080,733.718508,0.75,0.00035517426404234044,
0.35,19.0,62,100,594,3280080,732.558715,0.62,0.00018109314406965685,
0.35,20.0,52,100,531,3280080,719.330922,0.52,0.00016188629545620838,
0.35,21.0,37,100,253,3280080,696.491711,0.37,7.713226506670569e-05,
0.35,22.0,30,100,256,3280080,685.132032,0.3,7.804687690544133e-05,
0.35,23.0,43,100,652,3280080,709.99923,0.43,0.0001987756396185459,
