detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.16,log10_fsr_linear_vs_snr,6,17.0,22.0,0.01,0.67,-0.3992366252534688,6.674907392262306,0.9476261885846943,,0.1,-1.0,19.223956187360397,-2.776043812639603
0.16,log10_fsr_linear_vs_snr,6,17.0,22.0,0.01,0.67,-0.3992366252534688,6.674907392262306,0.9476261885846943,,0.01,-2.0,21.728736402264566,-0.27126359773543385
0.16,log10_fsr_linear_vs_snr,6,17.0,22.0,0.01,0.67,-0.3992366252534688,6.674907392262306,0.9476261885846943,,0.001,-3.0,24.23351661716874,2.233516617168739
0.18,log10_fsr_linear_vs_snr,7,17.0,23.0,0.03,0.68,-0.24293431635898252,3.923524615298155,0.9526201704886103,,0.1,-1.0,20.266896373844087,-2.7331036261559127
0.18,log10_fsr_linear_vs_snr,7,17.0,23.0,0.03,0.68,-0.24293431635898252,3.923524615298155,0.9526201704886103,,0.01,-2.0,24.383235370275973,1.3832353702759725
0.18,log10_fsr_linear_vs_snr,7,17.0,23.0,0.03,0.68,-0.24293431635898252,3.923524615298155,0.9526201704886103,,0.001,-3.0,28.499574366707854,5.499574366707854
0.2,log10_fsr_linear_vs_snr,7,17.0,23.0,0.03,0.74,-0.24008335497005037,3.9478166114117927,0.8709571262334045,,0.1,-1.0,20.60874487541636,-2.3912551245836404
0.2,log10_fsr_linear_vs_snr,7,17.0,23.0,0.03,0.74,-0.24008335497005037,3.9478166114117927,0.8709571262334045,,0.01,-2.0,24.773964909619675,1.773964909619675
0.2,log10_fsr_linear_vs_snr,7,17.0,23.0,0.03,0.74,-0.24008335497005037,3.9478166114117927,0.8709571262334045,,0.001,-3.0,28.939184943822994,5.939184943822994
0.22,log10_fsr_linear_vs_snr,7,17.0,23.0,0.1,0.78,-0.15267598502830354,2.48387609790189,0.956765139411088,,0.1,-1.0,22.81875631754423,-0.1812436824557686
0.22,log10_fsr_linear_vs_snr,7,17.0,23.0,0.1,0.78,-0.15267598502830354,2.48387609790189,0.956765139411088,,0.01,-2.0,29.36857487489375,6.368574874893749
0.22,log10_fsr_linear_vs_snr,7,17.0,23.0,0.1,0.78,-0.15267598502830354,2.48387609790189,0.956765139411088,,0.001,-3.0,35.91839343224327,12.91839343224327
0.24,log10_fsr_linear_vs_snr,6,18.0,23.0,0.2,0.59,-0.0867341098457734,1.2720453535044567,0.7255476613901244,,0.1,-1.0,26.19552281731493,3.195522817314931
0.24,log10_fsr_linear_vs_snr,6,18.0,23.0,0.2,0.59,-0.0867341098457734,1.2720453535044567,0.7255476613901244,,0.01,-2.0,37.7250122163317,14.725012216331699
0.24,log10_fsr_linear_vs_snr,6,18.0,23.0,0.2,0.59,-0.0867341098457734,1.2720453535044567,0.7255476613901244,,0.001,-3.0,49.25450161534845,26.254501615348453
0.27,log10_fsr_linear_vs_snr,6,18.0,23.0,0.25,0.7,-0.07179032907977784,1.077744269537719,0.7312157403510737,,0.1,-1.0,28.94184072103642,5.941840721036421
0.27,log10_fsr_linear_vs_snr,6,18.0,23.0,0.25,0.7,-0.07179032907977784,1.077744269537719,0.7312157403510737,,0.01,-2.0,42.871293515280314,19.871293515280314
0.27,log10_fsr_linear_vs_snr,6,18.0,23.0,0.25,0.7,-0.07179032907977784,1.077744269537719,0.7312157403510737,,0.001,-3.0,56.80074630952421,33.80074630952421
0.3,log10_fsr_linear_vs_snr,6,18.0,23.0,0.28,0.72,-0.0646139052783594,0.9840089542099671,0.732999687604547,,0.1,-1.0,30.70560347130813,7.70560347130813
0.3,log10_fsr_linear_vs_snr,6,18.0,23.0,0.28,0.72,-0.0646139052783594,0.9840089542099671,0.732999687604547,,0.01,-2.0,46.18214827527808,23.18214827527808
0.3,log10_fsr_linear_vs_snr,6,18.0,23.0,0.28,0.72,-0.0646139052783594,0.9840089542099671,0.732999687604547,,0.001,-3.0,61.65869307924804,38.65869307924804
0.35,log10_fsr_linear_vs_snr,6,18.0,23.0,0.3,0.75,-0.06575934179897563,1.0251077953608336,0.7023319370710017,,0.1,-1.0,30.795743083188515,7.7957430831885155
0.35,log10_fsr_linear_vs_snr,6,18.0,23.0,0.3,0.75,-0.06575934179897563,1.0251077953608336,0.7023319370710017,,0.01,-2.0,46.002707943891814,23.002707943891814
0.35,log10_fsr_linear_vs_snr,6,18.0,23.0,0.3,0.75,-0.06575934179897563,1.0251077953608336,0.7023319370710017,,0.001,-3.0,61.20967280459511,38.20967280459511
